Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 1.336514E+00 	  1.514314000E+00 	  3.112623689E-01 	 0.000000E+00 	  1.64778192E+00 	  +5.65766200000E+00 	  +1.81026891193E+01 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 0.000000E+00 	  1.574800000E+00 	  3.216574152E-01 	 0.000000E+00 	  1.58251373E+00 	  +3.34402882876E+00 	  +1.09569920452E+01 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  3.611080551E-01 	 0.000000E+00 	  1.51983078E+00 	  +2.02403615476E+00 	  +7.60248534989E+00 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.632709259E-01 	 0.000000E+00 	  1.45963070E+00 	  +1.40437313002E+00 	  +4.61067100084E+00 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.425193244E-01 	 0.000000E+00 	  1.40181512E+00 	  +8.51708640918E-01 	  +2.86330303676E+00 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.363998024E-01 	 0.000000E+00 	  1.34628960E+00 	  +5.28925168924E-01 	  +1.83992838602E+00 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  3.608118779E-01 	 0.000000E+00 	  1.29296343E+00 	  +3.39881744925E-01 	  +1.85797856774E+00 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.383712800E-01 	 0.000000E+00 	  1.24174950E+00 	  +3.43216074297E-01 	  +1.24171804662E+00 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.214195592E-01 	 0.000000E+00 	  1.19256414E+00 	  +2.29377023366E-01 	  +8.76951387138E-01 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.727070464E-01 	 0.000000E+00 	  1.14532699E+00 	  +1.61995309133E-01 	  +6.58691549670E-01 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.144853711E-01 	 0.000000E+00 	  1.09996090E+00 	  +1.21677145138E-01 	  +5.25874299182E-01 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  4.400274808E-01 	 0.000000E+00 	  1.05639175E+00 	  +9.71424082456E-02 	  +1.00292975076E+00 
13   	  0.00000000000E+00 	  +2.138888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.365429472E-01 	 0.000000E+00 	  1.01454836E+00 	  +1.85266729028E-01 	  +7.14972823727E-01 
14   	  0.00000000000E+00 	  +2.077777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.206755370E-01 	 0.000000E+00 	  9.74362369E-01 	  +1.32073733276E-01 	  +5.42296475907E-01 
15   	  0.00000000000E+00 	  +2.177777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.450142747E-01 	 0.000000E+00 	  9.35768139E-01 	  +1.00176003533E-01 	  +4.36867126736E-01 
16   	  0.00000000000E+00 	  +2.283333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.720132489E-01 	 0.000000E+00 	  8.98702616E-01 	  +8.07005112068E-02 	  +3.70743117497E-01 
17   	  0.00000000000E+00 	  +2.405555600000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.051148779E-01 	 0.000000E+00 	  8.63105248E-01 	  +6.84857186027E-02 	  +3.27667380005E-01 
18   	  6.09600000000E-01 	  +2.294444400000E+01 	 0.000000E+00 	  6.096000000E-01 	  4.733101777E-01 	 0.000000E+00 	  8.28917882E-01 	  +6.05285301958E-02 	  +2.98178220105E-01 
19   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.096039085E-01 	 0.000000E+00 	  7.96084668E-01 	  +5.50811295255E-02 	  +2.76766027930E-01 
20   	  0.00000000000E+00 	  +2.250000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.596525661E-01 	 0.000000E+00 	  7.64551969E-01 	  +5.11257509932E-02 	  +2.60219777920E-01 
21   	  1.01600000000E-01 	  +1.883333300000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.706014861E-01 	 0.000000E+00 	  7.34268272E-01 	  +4.80692362026E-02 	  +2.46665440230E-01 
22   	  1.21920000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  1.219200000E+00 	  3.771780653E-01 	 0.000000E+00 	  7.05184104E-01 	  +4.55654039990E-02 	  +3.02980153762E-01 
23   	  0.00000000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.763792577E-01 	 0.000000E+00 	  6.77251952E-01 	  +5.59681692618E-02 	  +2.64129354265E-01 
24   	  5.56260000000E+00 	  +1.822222200000E+01 	 0.000000E+00 	  5.562600000E+00 	  3.551702038E-01 	 0.000000E+00 	  6.50426185E-01 	  +4.87914347623E-02 	  +8.26634276289E+00 
25   	  4.31800000000E-01 	  +2.261111100000E+01 	 0.000000E+00 	  4.318000000E-01 	  4.577130312E-01 	 0.000000E+00 	  6.56188347E-01 	  +1.52700454200E+00 	  +4.88973371685E+00 
26   	  5.08000000000E-02 	  +2.438888900000E+01 	 0.000000E+00 	  5.080000000E-02 	  5.052653735E-01 	 0.000000E+00 	  6.30196904E-01 	  +9.03258648833E-01 	  +2.92540270592E+00 
27   	  0.00000000000E+00 	  +2.533333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.316025946E-01 	 0.000000E+00 	  6.05234975E-01 	  +5.40396563178E-01 	  +1.77982362070E+00 
28   	  0.00000000000E+00 	  +2.511111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.237641761E-01 	 0.000000E+00 	  5.81261781E-01 	  +3.28778860340E-01 	  +1.11051031672E+00 
29   	  0.00000000000E+00 	  +2.500000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.192383359E-01 	 0.000000E+00 	  5.58238158E-01 	  +2.05139606015E-01 	  +7.18288145321E-01 
30   	  1.29540000000E+00 	  +2.494444400000E+01 	 0.000000E+00 	  1.295400000E+00 	  5.163342374E-01 	 0.000000E+00 	  5.36126496E-01 	  +1.32686157812E-01 	  +7.88985942192E-01 
31   	  1.11760000000E+00 	  +2.416666700000E+01 	 0.000000E+00 	  1.117600000E+00 	  4.929202173E-01 	 0.000000E+00 	  5.14890670E-01 	  +1.45745845758E-01 	  +8.09240570882E-01 
32   	  0.00000000000E+00 	  +2.288888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.571903561E-01 	 0.000000E+00 	  4.94495990E-01 	  +1.49487392763E-01 	  +5.34811328833E-01 
33   	  0.00000000000E+00 	  +2.200000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.333235349E-01 	 0.000000E+00 	  4.74909137E-01 	  +9.87933057780E-02 	  +3.72676461041E-01 
