Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 7.852137E+00 	  8.029937000E+00 	  2.484079448E-01 	 0.000000E+00 	  6.03456763E+01 	  +9.79444700000E+02 	  +2.53835669052E+02 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 0.000000E+00 	  1.574800000E+00 	  2.567038788E-01 	 0.000000E+00 	  2.49386397E+01 	  +1.03183828197E+03 	  +2.54313831379E+02 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  2.881880972E-01 	 0.000000E+00 	  1.04866984E+01 	  +1.03378200483E+03 	  +2.49842578598E+02 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.697208211E-01 	 0.000000E+00 	  4.30616661E+00 	  +1.01560642768E+03 	  +2.43403821586E+02 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.531596714E-01 	 0.000000E+00 	  1.76824679E+00 	  +9.89432974600E+02 	  +2.36301221462E+02 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.482758883E-01 	 0.000000E+00 	  7.26097479E-01 	  +9.60561008980E+02 	  +2.29067205646E+02 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  2.879517282E-01 	 0.000000E+00 	  2.98158352E-01 	  +9.31154840498E+02 	  +2.21952509599E+02 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  2.700426478E-01 	 0.000000E+00 	  1.22433152E-01 	  +9.02233705131E+02 	  +2.14966438880E+02 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  2.565140541E-01 	 0.000000E+00 	  5.02748842E-02 	  +8.73835429840E+02 	  +2.08176904863E+02 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  2.974448590E-01 	 0.000000E+00 	  2.06444411E-02 	  +8.46236073369E+02 	  +2.01592224749E+02 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.307867236E-01 	 0.000000E+00 	  8.47725367E-03 	  +8.19469445014E+02 	  +1.95211882746E+02 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  3.511710154E-01 	 0.000000E+00 	  3.48102570E-03 	  +7.93533448095E+02 	  +1.89065062972E+02 
