Run   obj.function   <val1>        <val2>        
1     2.577984E+01  6.043019E+00  2.853616E+00  
2     5.733911E+01  -4.205754E+00  1.509353E+00  
3     1.601375E+02  -6.134979E+00  -1.757275E+01  
4     6.050830E+00  1.200629E+01  9.882772E+00  
5     3.740239E+01  4.913942E-01  3.738035E+00  
6     1.744438E+02  -1.842637E+01  -8.935832E+00  
7     1.419529E+01  1.438474E+01  4.924610E+00  
8     2.616343E+01  7.897123E+00  2.043170E+00  
9     4.184907E+01  1.092200E+00  1.213624E+00  
10    -5.118678E-01  1.312106E+01  1.494139E+01  
11    3.109650E+00  1.424607E+01  1.139722E+01  
12    4.770151E+01  -4.358041E+00  5.532084E+00  
13    3.455855E+00  1.719237E+01  1.127322E+01  
14    1.924756E+01  1.394856E+01  2.262025E+00  
15    7.482351E+00  1.054610E+01  9.204652E+00  
16    2.899269E-01  1.376605E+01  1.747069E+01  
17    5.390839E-01  1.712304E+01  1.456191E+01  
18    2.526737E+01  -5.259049E-01  1.276604E+01  
19    3.170434E+00  1.839082E+01  1.994707E+01  
20    1.945020E+01  1.697428E+01  3.058370E+00  
21    3.116607E-01  1.527305E+01  1.313361E+01  
22    3.178415E-01  1.775496E+01  1.792114E+01  
23    4.606276E+00  1.959227E+01  1.995811E+01  
24    1.350733E+01  2.673716E+00  1.638302E+01  
25    3.178320E+00  1.836253E+01  1.997353E+01  
26    -4.536868E-01  1.276823E+01  1.565591E+01  
27    5.094625E-01  1.714623E+01  1.656680E+01  
28    3.106272E+00  1.169814E+01  1.236202E+01  
29    4.424792E+00  1.025767E+01  1.221613E+01  
30    8.202883E+00  5.863367E+00  1.819151E+01  
31    1.594115E+00  1.269833E+01  1.445235E+01  
32    1.532485E+00  1.219416E+01  1.782796E+01  
33    8.396273E-01  1.722759E+01  1.811296E+01  
34    9.385584E+00  6.563592E+00  1.069069E+01  
35    7.711034E+00  8.356972E+00  1.128632E+01  
36    3.059632E+00  1.850311E+01  1.938234E+01  
37    7.731776E+00  7.565787E+00  1.239595E+01  
38    1.245978E+00  1.617534E+01  1.580086E+01  
39    4.015562E+00  1.465511E+01  1.020806E+01  
40    1.440180E+00  1.328180E+01  1.318572E+01  
41    2.170644E+00  1.273474E+01  1.992030E+01  
42    1.966955E+00  1.925156E+01  1.937508E+01  
43    1.964424E+00  1.418650E+01  1.246563E+01  
44    7.310150E-01  1.504144E+01  1.504225E+01  
45    1.269309E+00  1.324664E+01  1.722152E+01  
46    1.268634E+00  1.634333E+01  1.659286E+01  
47    2.142485E+00  1.279134E+01  1.996015E+01  
48    1.744962E+00  1.631188E+01  1.867140E+01  
49    2.190797E+00  1.787794E+01  1.839189E+01  
50    1.747165E+00  1.218873E+01  1.752602E+01  
51    1.274021E+00  1.312608E+01  1.963716E+01  
52    -4.607384E-01  1.678867E+01  1.613719E+01  
53    1.260426E+00  1.639567E+01  1.839640E+01  
54    1.058616E-01  1.141601E+01  1.671491E+01  
55    9.115857E+00  6.098774E+00  1.954803E+01  
56    4.364697E-02  1.596161E+01  1.598636E+01  
57    1.814724E+00  1.617387E+01  1.313544E+01  
58    7.444475E-01  1.525228E+01  1.510605E+01  
59    3.361746E+00  1.710242E+01  1.032774E+01  
60    1.464465E+00  1.042101E+01  1.500902E+01  
61    3.265200E+00  1.447973E+01  9.981923E+00  
62    -6.073612E-01  1.419209E+01  1.536245E+01  
63    7.465838E+00  1.717409E+01  8.461798E+00  
64    9.480855E-01  1.043495E+01  1.665072E+01  
65    3.570599E+00  1.417329E+01  1.012717E+01  
66    6.497457E-02  1.658558E+01  1.911238E+01  
67    5.789931E+00  1.730824E+01  9.061131E+00  
68    -3.540670E-01  1.347229E+01  1.674895E+01  
69    8.614047E+00  1.171259E+01  7.225938E+00  
70    1.942976E+00  1.125308E+01  1.526306E+01  
71    5.923413E-01  1.501984E+01  1.506358E+01  
72    1.966813E+00  1.815950E+01  1.854379E+01  
73    8.956994E-02  1.727756E+01  1.453057E+01  
74    4.613385E-01  1.507058E+01  1.460599E+01  
75    2.428154E+00  1.827605E+01  1.491003E+01  
76    -6.593247E-02  1.693106E+01  1.572934E+01  
77    1.129522E+00  1.797919E+01  1.911702E+01  
78    2.313705E+00  1.094861E+01  1.528437E+01  
79    2.396810E+00  1.685428E+01  1.972783E+01  
80    1.592822E-01  1.425791E+01  1.774408E+01  
81    1.290774E+00  1.133843E+01  1.943474E+01  
82    9.296879E-01  1.589249E+01  1.554146E+01  
83    2.423289E-01  1.427709E+01  1.979087E+01  
84    -7.245925E-01  1.477984E+01  1.764218E+01  
85    7.840349E-01  1.673252E+01  1.790191E+01  
86    5.098682E-01  1.469243E+01  1.682457E+01  
87    1.178965E+01  1.564888E+01  6.108475E+00  
88    2.192682E+00  1.106106E+01  1.578184E+01  
89    8.133334E-02  1.284138E+01  1.375999E+01  
90    -4.997838E-01  1.661912E+01  1.740001E+01  
91    3.354983E+00  1.494334E+01  1.146239E+01  
92    6.845652E-01  1.415568E+01  1.469860E+01  
93    1.253168E+00  1.629189E+01  1.678158E+01  
94    2.457270E+00  1.102999E+01  1.544336E+01  
95    2.316349E-01  1.321382E+01  1.368970E+01  
96    6.632263E-01  1.474850E+01  1.685503E+01  
97    -1.230234E-01  1.514760E+01  1.573120E+01  
98    -7.777248E-01  1.511403E+01  1.554289E+01  
99    -5.690230E-01  1.555141E+01  1.557365E+01  
100   1.730284E+00  1.744608E+01  1.599377E+01  
101   1.683487E+00  1.407148E+01  1.385804E+01  
102   1.258034E+00  1.412252E+01  1.802826E+01  
103   5.294041E-01  1.490835E+01  1.786939E+01  
104   5.323488E-01  1.476859E+01  1.719100E+01  
105   1.024503E+00  1.519902E+01  1.625854E+01  
106   -8.603715E-01  1.505321E+01  1.539611E+01  
107   -6.006819E-01  1.420870E+01  1.757102E+01  
108   1.286449E-01  1.531460E+01  1.592848E+01  
109   9.879067E-01  1.476808E+01  1.468163E+01  
110   8.408521E-01  1.496345E+01  1.585537E+01  
111   3.633852E-01  1.475581E+01  1.613010E+01  
112   9.451360E-01  1.417089E+01  1.677209E+01  
113   1.017091E+00  1.478505E+01  1.697722E+01  
114   9.935739E-01  1.527484E+01  1.814956E+01  
115   1.028104E+00  1.503370E+01  1.600667E+01  
116   -3.920921E-01  1.486980E+01  1.633976E+01  
117   -4.049110E-01  1.556016E+01  1.553350E+01  
118   1.832141E-01  1.610449E+01  1.452715E+01  
119   1.126682E+00  1.388573E+01  1.799599E+01  
120   -8.413310E-01  1.370758E+01  1.672281E+01  
121   9.949853E-01  1.496880E+01  1.603177E+01  
122   9.890313E-01  1.521506E+01  1.503570E+01  
123   1.009958E+00  1.442567E+01  1.595178E+01  
124   -8.814735E-01  1.368975E+01  1.610358E+01  
125   1.939008E-01  1.541804E+01  1.682240E+01  
126   1.015687E+00  1.421042E+01  1.631673E+01  
127   -9.330086E-01  1.468525E+01  1.652112E+01  
