Run   obj.function   <val1>        <val2>        
117   -1.640878E-01  1.397470E+01  1.690937E+01  
118   3.882701E-01  1.491917E+01  1.719198E+01  
119   8.034748E-01  1.432873E+01  1.591211E+01  
120   1.017103E+00  1.478809E+01  1.589079E+01  
121   -8.790962E-01  1.468617E+01  1.637910E+01  
122   6.422869E-02  1.442679E+01  1.647431E+01  
123   -5.978280E-01  1.531038E+01  1.752043E+01  
124   1.139776E+00  1.460794E+01  1.472858E+01  
125   6.432491E-01  1.408389E+01  1.612982E+01  
126   -9.330086E-01  1.468525E+01  1.652112E+01  
127   -9.330086E-01  1.468525E+01  1.652112E+01  
