Run   obj.function   <val1>        <val2>        
1     2.139587E+00  1.073779E+01  1.684894E+01  
2     7.117485E+01  1.641744E+01  -1.004821E+01  
3     3.293826E+01  -4.838301E-01  6.981196E+00  
4     6.312042E+01  -2.188596E+00  -2.295612E+00  
5     6.154259E+01  -9.850772E+00  1.247259E+01  
6     6.146941E+01  3.982681E+00  -5.678357E+00  
7     -5.154042E-01  1.575318E+01  1.833252E+01  
8     1.417310E+01  1.608191E+01  4.975896E+00  
9     1.419636E+01  3.588174E+00  1.349060E+01  
10    1.673771E+01  4.735635E+00  8.852194E+00  
11    9.251439E+00  4.940359E+00  1.450848E+01  
12    3.731676E+01  1.199134E+01  -2.873451E+00  
13    1.945554E+00  1.787659E+01  1.896064E+01  
14    1.542192E+00  1.578555E+01  1.248795E+01  
15    1.309026E+00  1.179409E+01  1.657717E+01  
16    3.183857E+00  9.371106E+00  1.442610E+01  
17    -4.450443E-01  1.247018E+01  1.646739E+01  
18    2.941154E+01  1.599567E+01  -7.174683E-01  
19    9.254797E-01  1.686391E+01  1.854174E+01  
20    -8.207901E-01  1.570891E+01  1.624397E+01  
21    2.292758E-01  1.534512E+01  1.828859E+01  
22    1.078250E-01  1.245866E+01  1.721305E+01  
23    3.766808E-01  1.623509E+01  1.760500E+01  
24    5.523879E+00  1.741837E+01  9.641266E+00  
25    5.574593E-01  1.411249E+01  1.345235E+01  
26    3.137209E-01  1.567058E+01  1.812199E+01  
27    3.223642E+00  1.930517E+01  1.856435E+01  
28    1.242084E+00  1.622933E+01  1.852527E+01  
29    -8.471472E-01  1.359230E+01  1.663408E+01  
30    9.025863E-01  1.721927E+01  1.482063E+01  
31    1.548753E+00  1.257830E+01  1.800826E+01  
32    7.142815E-01  1.381889E+01  1.807493E+01  
33    4.848939E+00  7.256624E+00  1.537883E+01  
34    3.304748E+00  9.784005E+00  1.545607E+01  
35    2.412799E+00  1.089666E+01  1.564373E+01  
36    -6.099398E-01  1.480254E+01  1.741032E+01  
37    1.744543E+00  1.363778E+01  1.900413E+01  
38    -2.314389E-01  1.348672E+01  1.484077E+01  
39    3.669771E-01  1.362831E+01  1.430072E+01  
40    1.126291E+01  4.498325E+00  1.564859E+01  
41    3.073723E+00  1.948920E+01  1.614168E+01  
42    4.813081E-01  1.245999E+01  1.903096E+01  
43    1.724431E+00  1.719465E+01  1.753065E+01  
44    -4.295191E-02  1.649373E+01  1.494202E+01  
45    1.104539E+00  1.609246E+01  1.715036E+01  
46    2.038185E+00  1.935707E+01  1.910993E+01  
47    4.746994E-01  1.451253E+01  1.717852E+01  
48    -5.226622E-01  1.581177E+01  1.834772E+01  
49    8.360419E-01  1.324042E+01  1.628641E+01  
50    1.339172E+00  1.586343E+01  1.913372E+01  
51    -3.937204E-01  1.550590E+01  1.857518E+01  
52    2.338137E+00  1.820040E+01  1.955497E+01  
53    8.942967E-01  1.036330E+01  1.633006E+01  
54    -3.861057E-01  1.686950E+01  1.579532E+01  
55    9.865172E-01  1.350207E+01  1.737407E+01  
56    2.607182E-01  1.518260E+01  1.956686E+01  
57    1.232541E+00  1.493881E+01  1.804426E+01  
58    1.433393E+01  2.536085E+00  1.689059E+01  
59    -4.466255E-01  1.487722E+01  1.637025E+01  
