Run   obj.function   <val1>        <val2>        
60    1.049151E-01  1.153755E+01  1.691069E+01  
61    4.224593E-01  1.441153E+01  1.663899E+01  
62    3.886808E-02  1.458256E+01  1.564863E+01  
63    -3.232499E-01  1.534235E+01  1.756908E+01  
64    1.915452E+01  7.788559E-01  1.534507E+01  
65    8.688112E-01  1.616013E+01  1.678170E+01  
66    4.329744E+00  8.697096E+00  1.788932E+01  
67    1.604614E+00  1.724498E+01  1.723017E+01  
68    6.830023E-02  1.515904E+01  1.322517E+01  
69    -7.062905E-01  1.551357E+01  1.702113E+01  
70    9.576122E-01  1.038943E+01  1.562612E+01  
71    9.554536E-01  1.518443E+01  1.653608E+01  
72    -3.210211E-01  1.540769E+01  1.591135E+01  
73    -2.971163E-01  1.666974E+01  1.763993E+01  
74    8.718051E-01  1.533947E+01  1.661259E+01  
75    -7.342211E-01  1.554344E+01  1.562882E+01  
76    9.651306E-01  1.519471E+01  1.645533E+01  
77    1.668334E+00  1.189681E+01  1.635163E+01  
78    8.790665E-02  1.776836E+01  1.547367E+01  
79    1.267451E+00  1.307742E+01  1.657411E+01  
80    -7.237915E-01  1.478621E+01  1.744427E+01  
81    -8.518146E-01  1.518820E+01  1.553698E+01  
82    -4.200298E-01  1.541260E+01  1.703844E+01  
83    -1.590641E-01  1.701173E+01  1.674753E+01  
84    -8.682215E-01  1.560650E+01  1.580420E+01  
85    1.115693E-01  1.310828E+01  1.923175E+01  
86    5.152151E-01  1.601697E+01  1.440171E+01  
87    6.839259E-01  1.435354E+01  1.664477E+01  
88    1.015163E+00  1.469306E+01  1.698053E+01  
89    1.015205E+00  1.526054E+01  1.628692E+01  
90    5.028035E-01  1.343138E+01  1.707441E+01  
91    6.766545E-01  1.457198E+01  1.502060E+01  
92    7.457080E-01  1.575559E+01  1.544263E+01  
93    -7.586838E-01  1.533256E+01  1.568378E+01  
94    4.946731E-01  1.538380E+01  1.676331E+01  
95    -1.898368E-01  1.241502E+01  1.676223E+01  
96    2.124279E-01  1.604439E+01  1.616540E+01  
97    -2.310859E-01  1.672889E+01  1.625696E+01  
98    -2.584740E-01  1.395158E+01  1.835321E+01  
99    -8.812593E-01  1.465706E+01  1.537368E+01  
100   1.029514E+00  1.504164E+01  1.690469E+01  
101   1.267640E+00  1.635608E+01  1.663734E+01  
102   6.827419E-01  1.494446E+01  1.580393E+01  
103   -4.994301E-01  1.551408E+01  1.692088E+01  
104   8.285135E-02  1.391523E+01  1.334199E+01  
105   3.230159E-01  1.449486E+01  1.720354E+01  
106   5.442977E-01  1.526703E+01  1.693107E+01  
107   2.949504E-01  1.279160E+01  1.633078E+01  
108   -9.061567E-01  1.471572E+01  1.638672E+01  
109   8.763778E-02  1.523059E+01  1.963467E+01  
110   2.389611E+00  1.741016E+01  1.929013E+01  
111   1.015678E+00  1.478024E+01  1.703577E+01  
112   5.071105E-01  1.524491E+01  1.696725E+01  
113   9.374397E-01  1.511655E+01  1.670272E+01  
114   -8.935720E-01  1.466083E+01  1.652659E+01  
115   1.347396E+00  1.440757E+01  1.935494E+01  
116   -1.968448E-01  1.652181E+01  1.502713E+01  
117   -7.419203E-01  1.455292E+01  1.548304E+01  
118   9.310098E-02  1.457396E+01  1.671576E+01  
119   -2.136724E-02  1.447827E+01  1.632615E+01  
120   -9.176321E-01  1.471730E+01  1.639175E+01  
121   9.751849E-01  1.480937E+01  1.495531E+01  
122   -8.733688E-01  1.412427E+01  1.552242E+01  
123   -7.190880E-01  1.480590E+01  1.655302E+01  
124   -3.698148E-01  1.595868E+01  1.666781E+01  
125   5.705829E-01  1.439663E+01  1.666979E+01  
126   -8.709710E-01  1.463000E+01  1.650275E+01  
127   -9.330086E-01  1.468525E+01  1.652112E+01  
