Run   obj.function   <val1>        <val2>        
1     9.092394E+01  -1.526443E+01  1.553989E+01  
2     9.843181E+01  -1.472985E+01  5.374375E+00  
3     1.127197E+02  6.929406E+00  -1.630527E+01  
4     5.437557E+00  1.961243E+01  1.155721E+01  
5     1.436313E+02  1.919857E+00  -1.918846E+01  
6     1.234853E+02  -1.095706E+01  -7.565766E+00  
7     1.589120E+01  2.367787E+00  1.740774E+01  
8     4.891393E+01  -7.067379E+00  1.268719E+01  
9     2.622134E+01  7.145224E+00  1.847366E+00  
10    8.015409E-01  1.811399E+01  1.577861E+01  
11    8.599977E+01  1.974792E+00  -1.013849E+01  
12    4.000920E+01  -8.358261E-01  3.962973E+00  
13    2.463212E+00  1.118389E+01  1.802316E+01  
14    7.688528E+00  6.466310E+00  1.561215E+01  
15    4.863459E+00  9.617657E+00  1.092368E+01  
16    1.439649E+00  1.688769E+01  1.788930E+01  
17    2.562039E+01  7.396875E+00  1.975248E+00  
18    5.281081E+00  9.582087E+00  1.113115E+01  
19    -9.251372E-02  1.559195E+01  1.825456E+01  
20    7.948448E-01  1.323316E+01  1.753669E+01  
21    1.745102E+00  1.213936E+01  1.546184E+01  
22    9.976283E-01  1.718285E+01  1.894465E+01  
23    2.702624E+00  1.335133E+01  1.098762E+01  
24    1.694170E+00  1.479104E+01  1.377695E+01  
25    4.140746E-01  1.779597E+01  1.674906E+01  
26    -5.650212E-02  1.661658E+01  1.782003E+01  
27    1.138193E+00  1.352293E+01  1.773092E+01  
28    9.080364E-01  1.738737E+01  1.301186E+01  
29    7.817515E-01  1.667567E+01  1.494597E+01  
30    1.722990E+00  1.739552E+01  1.615065E+01  
31    1.182253E+00  1.577761E+01  1.511453E+01  
32    9.361892E-01  1.710752E+01  1.719672E+01  
33    3.462655E-02  1.497878E+01  1.880557E+01  
34    2.104101E+00  1.698488E+01  1.143786E+01  
35    1.496852E+00  1.712459E+01  1.747299E+01  
36    -5.009168E-01  1.482392E+01  1.632221E+01  
37    8.254285E-02  1.313912E+01  1.934847E+01  
38    -3.074222E-02  1.460655E+01  1.621637E+01  
39    -4.012463E-01  1.626479E+01  1.809549E+01  
40    3.356277E+00  1.646352E+01  1.177518E+01  
41    8.118195E-01  1.681568E+01  1.369888E+01  
42    2.607960E-01  1.231092E+01  1.652086E+01  
43    4.692966E-01  1.253004E+01  1.754446E+01  
44    1.124210E+00  1.325903E+01  1.590970E+01  
45    -2.496112E-01  1.654776E+01  1.508119E+01  
46    -3.857625E-01  1.670262E+01  1.588759E+01  
47    1.094377E-02  1.389239E+01  1.659968E+01  
48    5.811647E-01  1.434572E+01  1.635990E+01  
49    3.423840E+00  1.913359E+01  1.427898E+01  
50    6.156570E-01  1.746734E+01  1.777760E+01  
51    6.236626E-01  1.423522E+01  1.593024E+01  
52    -3.253363E-01  1.613376E+01  1.794379E+01  
53    8.241127E-01  1.225304E+01  1.892278E+01  
54    -4.805619E-01  1.692061E+01  1.625432E+01  
55    2.466129E+00  1.855413E+01  1.638669E+01  
56    2.998302E+00  1.924011E+01  1.796890E+01  
57    8.116160E-01  1.698775E+01  1.746076E+01  
58    -5.768674E-01  1.387288E+01  1.557027E+01  
59    3.397212E+00  1.665518E+01  1.196718E+01  
60    -1.547121E-01  1.471589E+01  1.621741E+01  
61    -2.096360E-01  1.623675E+01  1.819334E+01  
62    -6.012741E-01  1.395565E+01  1.704195E+01  
63    -3.400218E-01  1.492937E+01  1.851019E+01  
64    2.172840E-01  1.365415E+01  1.558980E+01  
65    -8.587282E-01  1.572328E+01  1.598359E+01  
66    -2.973453E-01  1.343567E+01  1.632853E+01  
67    1.838887E-01  1.466772E+01  1.616163E+01  
68    2.136870E-01  1.171098E+01  1.547692E+01  
69    -5.206828E-01  1.495024E+01  1.863653E+01  
70    1.017093E+00  1.491461E+01  1.598350E+01  
