Run   obj.function   XQ01          YQ01          RQ01          XQ02          YQ02          RQ02          XQ03          YQ03          RQ03          XQ04          YQ04          RQ04          XQ05          YQ05          RQ05          XQ06          YQ06          RQ06          
20    4.7591731568507506E+06  2.773340E+03  1.520000E+03  4.579056E+03  3.340000E+03  1.000000E+03  1.096424E+04  4.370422E+03  5.020000E+03  7.758044E+03  5.030406E+03  3.715000E+03  1.000000E+04  4.535199E+03  4.195717E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
21    5.0936111975012478E+04  2.731726E+03  1.520000E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.096424E+04  4.444069E+03  5.020000E+03  7.758044E+03  5.434506E+03  3.715000E+03  1.000000E+04  4.535199E+03  4.195717E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
22    4.2638593611197507E+08  2.731726E+03  1.520000E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.096424E+04  4.444069E+03  5.020000E+03  7.758044E+03  5.434506E+03  3.451717E+03  1.000000E+04  4.535199E+03  4.195717E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
23    5.0566177484709246E+04  2.670000E+03  1.698258E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.096424E+04  4.444069E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  8.811887E+03  4.500000E+03  4.450720E+03  1.000000E+04  
24    4.9645529272384854E+04  2.670000E+03  1.402154E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.096424E+04  4.444069E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  7.891239E+03  4.500000E+03  4.450720E+03  1.000000E+04  
25    3.5487464552927238E+08  2.670000E+03  1.402154E+03  3.032011E+03  3.340000E+03  1.000000E+03  1.096424E+04  4.444069E+03  5.020000E+03  7.758044E+03  5.130000E+03  3.421971E+03  1.000000E+04  4.580841E+03  4.303088E+03  7.891239E+03  4.500000E+03  4.450720E+03  1.000000E+04  
26    6.4150777791721644E+04  2.670000E+03  1.289784E+03  5.608285E+03  3.340000E+03  1.000000E+03  1.021103E+04  4.512608E+03  4.984648E+03  7.758044E+03  5.049706E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.352963E+03  1.000000E+04  
27    2.8833423949211884E+08  2.670000E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.512608E+03  4.984648E+03  7.758044E+03  5.584144E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  5.634496E+03  4.500000E+03  4.450720E+03  1.000000E+04  
28    4.7851409852070239E+04  2.670000E+03  1.520000E+03  7.005171E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
29    4.8696123490770857E+04  2.670000E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  1.009113E+04  4.500000E+03  4.450720E+03  1.000000E+04  
30    5.4201003370733124E+04  2.622928E+03  1.520000E+03  7.050111E+03  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
31    7.8144581758291903E+05  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  9.097511E+02  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
32    4.4092213016058849E+04  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  6.305395E+03  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
33    6.4185009221301603E+08  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.315945E+03  1.021103E+04  4.447277E+03  4.984648E+03  7.758044E+03  5.130000E+03  3.715000E+03  6.305395E+03  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
34    4.6002883016058848E+04  2.622928E+03  1.520000E+03  6.359249E+02  3.340000E+03  1.000000E+03  1.021103E+04  4.447277E+03  4.975883E+03  7.758044E+03  5.130000E+03  3.715000E+03  6.305395E+03  4.580841E+03  4.303088E+03  9.181822E+03  4.500000E+03  4.450720E+03  1.000000E+04  
