Run   obj.function   XQ01          YQ01          RQ01          XQ02          YQ02          RQ02          XQ03          YQ03          RQ03          XQ04          YQ04          RQ04          XQ05          YQ05          RQ05          XQ06          YQ06          RQ06          
1     6.2697610971896374E+08  3.020159E+03  1.317892E+03  1.832569E+04  4.190130E+03  9.361508E+02  6.084733E+03  5.446331E+03  3.884022E+03  1.944320E+03  4.720281E+03  4.881804E+03  1.450288E+02  5.008264E+03  5.046419E+03  6.302846E+03  5.465369E+03  5.044684E+03  1.580710E+04  
2     1.8237612972415943E+09  2.980000E+03  1.600888E+03  9.092601E+03  3.510420E+03  1.292979E+03  1.363525E+04  4.286866E+03  4.587072E+03  9.551130E+03  5.224056E+03  4.140511E+03  4.272771E+03  4.718137E+03  4.240685E+03  4.369047E+03  4.753361E+03  5.092451E+03  1.437644E+04  
3     7.7414522061988282E+08  2.832097E+03  1.342000E+03  6.546108E+03  3.340000E+03  9.853453E+02  7.517088E+03  4.754080E+03  4.740080E+03  1.263414E+04  5.130000E+03  3.637546E+03  9.631148E+03  5.150254E+03  3.571920E+03  1.764617E+04  5.054678E+03  4.585000E+03  8.245969E+03  
4     1.3948348039157038E+09  2.670000E+03  1.708882E+03  1.000000E+04  3.253992E+03  7.655237E+02  1.427962E+04  4.435064E+03  4.895709E+03  6.752519E+03  5.179477E+03  3.715000E+03  1.000000E+04  4.921201E+03  3.710686E+03  4.771777E+03  4.657267E+03  4.585000E+03  1.000000E+04  
5     9.9158419925739396E+08  3.278498E+03  1.730156E+03  1.000000E+04  3.340000E+03  1.255797E+03  1.000000E+04  4.430000E+03  5.020000E+03  9.532384E+03  4.956401E+03  3.715000E+03  1.554803E+04  4.770000E+03  4.170000E+03  1.000000E+04  4.504185E+03  4.585000E+03  8.758845E+03  
6     2.7039363485335529E+08  2.961951E+03  1.732891E+03  8.019402E+03  3.340000E+03  1.000000E+03  1.000000E+04  4.396520E+03  4.672174E+03  8.054528E+03  5.130000E+03  3.715000E+03  1.000000E+04  4.770000E+03  4.170000E+03  4.660923E+03  4.500000E+03  4.348459E+03  1.000000E+04  
7     2.4030361995600588E+06  2.659177E+03  1.520000E+03  1.000000E+04  3.340000E+03  8.966754E+02  1.000000E+04  4.430000E+03  5.020000E+03  1.000000E+04  5.130000E+03  3.715000E+03  8.665808E+03  4.770000E+03  3.907672E+03  4.980532E+03  4.500000E+03  4.995786E+03  1.501286E+04  
8     5.6444653407864258E+07  2.670000E+03  1.520000E+03  1.408926E+04  3.340000E+03  1.127785E+03  1.000000E+04  4.430000E+03  5.020000E+03  1.000000E+04  5.130000E+03  3.715000E+03  1.051014E+04  4.770000E+03  3.987573E+03  1.715401E+04  4.500000E+03  4.585000E+03  1.000000E+04  
9     1.2137223872133318E+07  2.670000E+03  1.520000E+03  1.000000E+04  3.340000E+03  1.000000E+03  1.260621E+04  4.430000E+03  5.020000E+03  1.000000E+04  5.130000E+03  3.715000E+03  1.179687E+04  4.770000E+03  4.170000E+03  7.420798E+03  4.500000E+03  4.706037E+03  1.000000E+04  
10    8.9146400000000000E+07  2.670000E+03  1.520000E+03  1.000000E+04  3.879074E+03  1.103059E+03  1.000000E+04  4.286174E+03  4.760712E+03  1.000000E+04  5.130000E+03  3.715000E+03  1.000000E+04  4.770000E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.623991E+03  1.000000E+04  
11    3.8415196848144799E+07  2.670000E+03  1.520000E+03  1.000000E+04  3.072594E+03  1.000000E+03  7.294962E+03  4.430000E+03  5.020000E+03  2.537050E+03  5.130000E+03  3.715000E+03  1.863467E+04  4.770000E+03  4.364878E+03  5.605123E+03  4.500000E+03  4.585000E+03  9.935047E+03  
12    6.0000000000000000E+04  2.670000E+03  1.520000E+03  1.000000E+04  3.340000E+03  1.000000E+03  1.000000E+04  4.451038E+03  5.020000E+03  1.000000E+04  5.130000E+03  3.715000E+03  1.000000E+04  4.770000E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.450720E+03  1.000000E+04  
13    4.0176157626608962E+08  2.864362E+03  1.520000E+03  9.483266E+03  3.340000E+03  1.000000E+03  1.000000E+04  4.406710E+03  5.020000E+03  1.000000E+04  4.760021E+03  3.806276E+03  1.000000E+04  4.770000E+03  4.170000E+03  1.000000E+04  4.500000E+03  4.450720E+03  1.000000E+04  
14    1.3319767175287299E+08  2.670000E+03  1.520000E+03  8.148672E+03  3.340000E+03  1.000000E+03  7.523081E+03  4.451038E+03  5.020000E+03  1.000000E+04  5.130000E+03  3.911846E+03  1.000000E+04  4.770000E+03  4.538362E+03  1.000000E+04  4.500000E+03  4.450720E+03  1.000000E+04  
15    6.1079447542953552E+04  2.498314E+03  1.520000E+03  1.000000E+04  3.340000E+03  1.000000E+03  1.000000E+04  4.451038E+03  4.796209E+03  1.107945E+04  5.130000E+03  3.715000E+03  1.000000E+04  4.770000E+03  4.170000E+03  1.000000E+04  4.500000E+03  5.013644E+03  1.000000E+04  
