Run   obj.function   K1            K2            Kback         
1     8.230901E+04  5.000000E+01  5.000000E+01  5.000000E+01  
2     8.231056E+04  5.000000E+01  5.151931E+01  5.000000E+01  
3     1.519021E+04  5.866911E+01  3.367367E+01  2.505936E+00  
4     2.098629E+03  4.469489E+01  8.953328E+00  7.725641E-01  
5     5.844631E+00  3.758501E+01  4.737366E+00  9.860186E-01  
6     1.711028E-02  3.345070E+01  4.989132E+00  1.000334E+00  
7     4.636356E-03  1.795372E+01  5.265139E+00  9.997449E-01  
8     1.183204E-03  1.563663E+01  5.177029E+00  1.000007E+00  
9     4.666478E-04  1.563663E+01  5.024358E+00  1.000007E+00  
10    1.219746E-03  1.559258E+01  5.178046E+00  1.000016E+00  
