Run   obj.function   K1            K2            Kback         
1     8.230901E+04  5.000000E+01  5.000000E+01  5.000000E+01  
2     8.271201E+04  5.000000E+01  5.000000E+01  5.151931E+01  
3     1.597103E+04  5.866911E+01  3.268063E+01  2.582082E+00  
4     1.614326E+03  4.469489E+01  8.689294E+00  7.960393E-01  
5     6.601028E+00  3.758501E+01  4.597661E+00  1.015980E+00  
6     2.466107E+01  3.345070E+01  4.842002E+00  1.030730E+00  
7     2.411509E+01  1.795372E+01  5.109870E+00  1.030123E+00  
8     2.454612E+01  1.563663E+01  5.024358E+00  1.030393E+00  
9     4.666478E-04  1.563663E+01  5.024358E+00  1.000007E+00  
10    2.456258E+01  1.559258E+01  5.025345E+00  1.030402E+00  
