x,y,extract,cum_extract
8000,5928.97,23.8065,-105827
8000,5809.7,10.4664,-107717
8000,5576.37,5.63321,-109399
8000,5239.19,0.731725,-110567
8000,4812.88,-3.75274,-109690
8000,4316.09,-5.4072,-107503
8000,3770.51,-9.78603,-103326
8000,3200,-10.7854,-97327.3
8000,2629.49,-14.6095,-90371.8
8000,2083.91,-18.8496,-81029.7
8000,1587.12,-23.5128,-70908.5
8000,1160.81,-37.1037,-58134.9
8000,823.626,-46.1239,-44188.9
8000,590.301,-89.1665,-30056.7
8000,471.032,-171.482,-15210.8
1631.88,2177.17,0.618319,1778.43
1618.25,2138.83,1.31798,1731.21
1591.59,2063.83,0.285304,1667.01
1553.05,1955.45,0.290341,1648.88
1504.33,1818.43,0.182986,1596.29
1447.55,1658.74,-0.423876,1631.85
1385.2,1483.38,-0.134916,1681.38
1320,1300,-0.726581,1755.92
1254.8,1116.62,-0.458744,1896.31
1192.45,941.258,-0.386764,1947.17
1135.67,781.573,-0.558025,2057.76
1086.95,644.546,1.18245,2011.56
1048.41,536.166,0.650727,1895.59
1021.75,461.168,8.84195,1661.08
1008.12,422.832,28.7902,958.579
2439.73,3759.96,4.49507,5129.65
2422.47,3726.31,3.45923,4982
2388.73,3660.48,2.90587,4753.14
2339.95,3565.34,2.76224,4450.2
2278.29,3445.06,2.49671,4094.77
2206.43,3304.9,2.30326,3718.43
2127.52,3150.97,2.09747,3336.55
2045,2990,1.85627,2979.83
1962.48,2829.03,1.65938,2661.65
1883.57,2675.1,1.42227,2394.62
1811.71,2534.94,1.24625,2185.6
1750.05,2414.66,1.10777,2025.76
1701.27,2319.52,0.968339,1915.27
1667.53,2253.69,1.03241,1843.02
1650.27,2220.04,1.2189,1800.9
4967.66,5971.84,63.2845,2386.9
4913.35,5924.56,29.6628,-801.359
4807.1,5832.06,6.37323,-3002.71
4653.56,5698.39,-9.07199,-2659.24
4459.44,5529.39,-18.4743,1260.72
4233.22,5332.45,-11.0552,5957.12
3984.79,5116.17,-3.32661,8092.8
3725,4890,-0.815668,8780.68
3465.21,4663.83,1.61989,8606.05
3216.78,4447.55,1.97051,7982.19
2990.56,4250.61,2.91608,7277.16
2796.44,4081.61,2.66205,6501.91
2642.9,3947.94,2.38798,6037.42
2536.65,3855.44,4.14554,5577.3
2482.34,3808.16,2.90794,5298.9
4829.76,5258.73,37.9075,0
4821.69,5258.95,27.5207,0
4805.9,5259.37,18.7908,0
4783.09,5259.98,15.7088,0
4754.25,5260.75,12.5719,0
4720.64,5261.64,10.1293,0
4683.73,5262.63,9.10838,0
4645.13,5263.66,7.3328,0
4606.53,5264.69,7.34534,0
4569.62,5265.67,7.38721,0
4536.01,5266.57,8.28265,0
4507.17,5267.33,12.4843,0
4484.36,5267.94,15.6732,0
4468.58,5268.36,30.9353,0
4460.51,5268.58,58.391,0
4949.27,5527.92,77.9322,0
4946.8,5522.11,51.8304,0
4941.96,5510.75,35.7638,0
4934.96,5494.32,31.329,0
4926.11,5473.56,26.4755,0
4915.81,5449.36,24.3429,0
4904.49,5422.78,23.0808,0
4892.65,5394.99,21.6669,0
4880.82,5367.2,21.8836,0
4869.5,5340.63,21.4844,0
4859.19,5316.43,22.3013,0
4850.35,5295.66,24.0901,0
4843.35,5279.24,25.6515,0
4838.51,5267.87,33.4221,0
4836.03,5262.06,44.6047,0
4752.35,5544.72,49.8998,0
4756.63,5544.43,38.9713,0
4765.01,5543.87,29.7715,0
4777.1,5543.05,27.1432,0
4792.4,5542.03,24.3901,0
4810.23,5540.83,22.4151,0
4829.8,5539.51,22.3897,0
4850.27,5538.14,21.4433,0
4870.75,5536.76,22.8335,0
4890.32,5535.44,24.2136,0
4908.15,5534.25,26.5177,0
4923.44,5533.22,32.9385,0
4935.54,5532.4,37.6585,0
4943.92,5531.84,58.6559,0
4948.2,5531.55,96.2465,0
4459.43,5272.21,69.1967,0
4465.7,5278.09,45.5668,0
4477.95,5289.6,32.9588,0
4495.66,5306.23,30.7998,0
4518.05,5327.25,27.5061,0
4544.14,5351.76,26.7472,0
4572.79,5378.66,26.2596,0
4602.75,5406.8,25.4946,0
4632.72,5434.93,25.9137,0
4661.37,5461.84,25.4662,0
4687.46,5486.34,26.1579,0
4709.85,5507.37,27.2977,0
4727.56,5524,28.6745,0
4739.81,5535.5,34.5734,0
4746.07,5541.39,41.4766,0
