Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 1.784670E-01 	  3.562670000E-01 	  2.689144901E-01 	 0.000000E+00 	  1.35109951E+01 	  +1.07166700000E+00 	  +5.15209961240E+00 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 0.000000E+00 	  1.574800000E+00 	  2.778952692E-01 	 0.000000E+00 	  1.31093460E+01 	  +8.00788992777E-01 	  +4.17002500818E+00 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  3.119785693E-01 	 0.000000E+00 	  1.27196370E+01 	  +6.48145489679E-01 	  +3.69669261114E+00 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.002419736E-01 	 0.000000E+00 	  1.23415131E+01 	  +5.74575605169E-01 	  +3.30393801099E+00 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.823136697E-01 	 0.000000E+00 	  1.19746299E+01 	  +5.13529898694E-01 	  +3.05325054837E+00 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.770267211E-01 	 0.000000E+00 	  1.16186533E+01 	  +4.74565636394E-01 	  +2.88029983530E+00 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  3.117226875E-01 	 0.000000E+00 	  1.12732589E+01 	  +4.47683969164E-01 	  +2.80820173831E+00 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  2.923351787E-01 	 0.000000E+00 	  1.09381324E+01 	  +4.36477787837E-01 	  +2.67590466317E+00 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  2.776897740E-01 	 0.000000E+00 	  1.06129683E+01 	  +4.15914900952E-01 	  +2.57004338879E+00 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.219994942E-01 	 0.000000E+00 	  1.02974705E+01 	  +3.99460921088E-01 	  +2.47945877957E+00 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.580937928E-01 	 0.000000E+00 	  9.99135173E+00 	  +3.85381387802E-01 	  +2.39810523759E+00 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  3.801608464E-01 	 0.000000E+00 	  9.69433312E+00 	  +3.72736635985E-01 	  +2.41670033965E+00 
13   	  0.00000000000E+00 	  +2.138888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.771503907E-01 	 0.000000E+00 	  9.40614415E+00 	  +3.75626866020E-01 	  +2.30209667294E+00 
14   	  0.00000000000E+00 	  +2.077777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.634417741E-01 	 0.000000E+00 	  9.12652234E+00 	  +3.57814059255E-01 	  +2.21061161730E+00 
15   	  0.00000000000E+00 	  +2.177777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.844691769E-01 	 0.000000E+00 	  8.85521301E+00 	  +3.43594569907E-01 	  +2.13247132298E+00 
16   	  0.00000000000E+00 	  +2.283333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.077948858E-01 	 0.000000E+00 	  8.59196905E+00 	  +3.31449252019E-01 	  +2.06238117370E+00 
17   	  0.00000000000E+00 	  +2.405555600000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.363929707E-01 	 0.000000E+00 	  8.33655069E+00 	  +3.20555165283E-01 	  +1.99746175743E+00 
18   	  6.09600000000E-01 	  +2.294444400000E+01 	 0.000000E+00 	  6.096000000E-01 	  4.089153648E-01 	 0.000000E+00 	  8.08872529E+00 	  +3.10464763723E-01 	  +1.93613627763E+00 
19   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.402712596E-01 	 0.000000E+00 	  7.84826714E+00 	  +3.00932966418E-01 	  +1.87753081630E+00 
20   	  0.00000000000E+00 	  +2.250000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.971158990E-01 	 0.000000E+00 	  7.61495723E+00 	  +2.91823940607E-01 	  +1.82115103830E+00 
21   	  1.01600000000E-01 	  +1.883333300000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.201803996E-01 	 0.000000E+00 	  7.38858306E+00 	  +2.83060851958E-01 	  +1.76670790534E+00 
22   	  1.21920000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  1.219200000E+00 	  3.258622219E-01 	 0.000000E+00 	  7.16893844E+00 	  +2.74598775351E-01 	  +1.72612826339E+00 
23   	  0.00000000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.251720937E-01 	 0.000000E+00 	  6.95582332E+00 	  +2.68291496174E-01 	  +1.66950607932E+00 
24   	  5.56260000000E+00 	  +1.822222200000E+01 	 0.000000E+00 	  5.562600000E+00 	  3.068485747E-01 	 0.000000E+00 	  6.74904359E+00 	  +2.59490730435E-01 	  +8.46383101722E+00 
25   	  4.31800000000E-01 	  +2.261111100000E+01 	 0.000000E+00 	  4.318000000E-01 	  3.954402417E-01 	 0.000000E+00 	  6.54841093E+00 	  +1.31553021588E+00 	  +5.25809870495E+00 
26   	  5.08000000000E-02 	  +2.438888900000E+01 	 0.000000E+00 	  5.080000000E-02 	  4.365229911E-01 	 0.000000E+00 	  6.35374258E+00 	  +8.17264393670E-01 	  +3.50935737834E+00 
27   	  0.00000000000E+00 	  +2.533333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.592769797E-01 	 0.000000E+00 	  6.16486126E+00 	  +5.45458157201E-01 	  +2.54667093179E+00 
28   	  0.00000000000E+00 	  +2.511111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.525049939E-01 	 0.000000E+00 	  5.98159491E+00 	  +3.95828148488E-01 	  +2.00828519104E+00 
29   	  0.00000000000E+00 	  +2.500000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.485949035E-01 	 0.000000E+00 	  5.80377663E+00 	  +3.12147046123E-01 	  +1.69918747864E+00 
30   	  1.29540000000E+00 	  +2.494444400000E+01 	 0.000000E+00 	  1.295400000E+00 	  4.460859135E-01 	 0.000000E+00 	  5.63124446E+00 	  +2.64104099674E-01 	  +1.70868691381E+00 
31   	  1.11760000000E+00 	  +2.416666700000E+01 	 0.000000E+00 	  1.117600000E+00 	  4.258574185E-01 	 0.000000E+00 	  5.46384124E+00 	  +2.65580593471E-01 	  +1.68746033376E+00 
32   	  0.00000000000E+00 	  +2.288888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.949886777E-01 	 0.000000E+00 	  5.30141452E+00 	  +2.62281353755E-01 	  +1.47287696782E+00 
33   	  0.00000000000E+00 	  +2.200000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.743689861E-01 	 0.000000E+00 	  5.14381635E+00 	  +2.28928738238E-01 	  +1.34046563638E+00 
34   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.251762308E-01 	 0.000000E+00 	  4.99090319E+00 	  +2.08348092538E-01 	  +1.25284497321E+00 
35   	  0.00000000000E+00 	  +2.366666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.095884102E-01 	 0.000000E+00 	  4.84253576E+00 	  +1.94729244323E-01 	  +1.18985064795E+00 
36   	  0.00000000000E+00 	  +2.600000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.657841029E-01 	 0.000000E+00 	  4.69857894E+00 	  +1.84938058967E-01 	  +1.14059920187E+00 
37   	  0.00000000000E+00 	  +2.277777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.871870046E-01 	 0.000000E+00 	  4.55890161E+00 	  +1.77282924389E-01 	  +1.09921023513E+00 
38   	  0.00000000000E+00 	  +2.288888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.885456328E-01 	 0.000000E+00 	  4.42337654E+00 	  +1.70849852150E-01 	  +1.06250054135E+00 
39   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.364435605E-01 	 0.000000E+00 	  4.29188031E+00 	  +1.65144077627E-01 	  +1.02874117365E+00 
40   	  0.00000000000E+00 	  +1.972222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.215911396E-01 	 0.000000E+00 	  4.16429313E+00 	  +1.59896871227E-01 	  +9.96987458885E-01 
41   	  2.54000000000E-02 	  +2.488888900000E+01 	 0.000000E+00 	  2.540000000E-02 	  4.313947736E-01 	 0.000000E+00 	  4.04049882E+00 	  +1.54961402744E-01 	  +9.66717846234E-01 
42   	  0.00000000000E+00 	  +2.500000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.327923195E-01 	 0.000000E+00 	  3.92038461E+00 	  +1.50256607718E-01 	  +9.37639225888E-01 
43   	  1.27000000000E-01 	  +1.961111100000E+01 	 0.000000E+00 	  1.270000000E-01 	  3.166266270E-01 	 0.000000E+00 	  3.80384110E+00 	  +1.45736928199E-01 	  +9.09581979860E-01 
44   	  2.28600000000E-01 	  +1.933333300000E+01 	 0.000000E+00 	  2.286000000E-01 	  3.105408969E-01 	 0.000000E+00 	  3.69076215E+00 	  +1.41376000524E-01 	  +8.82443401039E-01 
45   	  0.00000000000E+00 	  +2.038888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.293091740E-01 	 0.000000E+00 	  3.58104476E+00 	  +1.37157860962E-01 	  +8.56157184303E-01 
