True Cost 	Penalty 	Adjusted Cost
3.823081E+07	0.000000E+00	3.823081E+07
2.875885E+07	0.000000E+00	2.875885E+07
2.799328E+07	0.000000E+00	2.799328E+07
3.167583E+06	0.000000E+00	3.167583E+06
2.239369E+06	0.000000E+00	2.239369E+06
1.438815E+05	0.000000E+00	1.438815E+05
2.200509E+06	0.000000E+00	2.200509E+06
2.597548E+06	0.000000E+00	2.597548E+06
2.858080E+05	0.000000E+00	2.858080E+05
1.401430E+05	0.000000E+00	1.401430E+05
1.521958E+05	0.000000E+00	1.521958E+05
2.306076E+06	0.000000E+00	2.306076E+06
2.739843E+06	0.000000E+00	2.739843E+06
2.038831E+04	0.000000E+00	2.038831E+04
1.128577E+05	0.000000E+00	1.128577E+05
3.337136E+05	0.000000E+00	3.337136E+05
6.944598E+03	0.000000E+00	6.944598E+03
1.358932E+04	0.000000E+00	1.358932E+04
1.808050E+05	0.000000E+00	1.808050E+05
1.641673E+04	0.000000E+00	1.641673E+04
5.661913E+03	0.000000E+00	5.661913E+03
1.751821E+04	0.000000E+00	1.751821E+04
3.686908E+04	0.000000E+00	3.686908E+04
5.415028E+03	0.000000E+00	5.415028E+03
2.457609E+04	0.000000E+00	2.457609E+04
8.087395E+03	0.000000E+00	8.087395E+03
5.408375E+03	0.000000E+00	5.408375E+03
5.438390E+03	0.000000E+00	5.438390E+03
5.626965E+03	0.000000E+00	5.626965E+03
5.333298E+03	0.000000E+00	5.333298E+03
5.390731E+03	0.000000E+00	5.390731E+03
5.300396E+03	0.000000E+00	5.300396E+03
6.186269E+03	0.000000E+00	6.186269E+03
5.328031E+03	0.000000E+00	5.328031E+03
5.377427E+03	0.000000E+00	5.377427E+03
9.295228E+03	0.000000E+00	9.295228E+03
5.289462E+03	0.000000E+00	5.289462E+03
5.890930E+03	0.000000E+00	5.890930E+03
4.723068E+03	0.000000E+00	4.723068E+03
4.939014E+03	0.000000E+00	4.939014E+03
1.992285E+04	0.000000E+00	1.992285E+04
4.584860E+03	0.000000E+00	4.584860E+03
4.648863E+03	0.000000E+00	4.648863E+03
4.700049E+03	0.000000E+00	4.700049E+03
4.551694E+03	0.000000E+00	4.551694E+03
1.705610E+04	0.000000E+00	1.705610E+04
5.094616E+03	0.000000E+00	5.094616E+03
5.126122E+03	0.000000E+00	5.126122E+03
4.564527E+03	0.000000E+00	4.564527E+03
4.551729E+03	0.000000E+00	4.551729E+03
4.934661E+03	0.000000E+00	4.934661E+03
4.569317E+03	0.000000E+00	4.569317E+03
5.749360E+03	0.000000E+00	5.749360E+03
1.106046E+04	0.000000E+00	1.106046E+04
4.550351E+03	0.000000E+00	4.550351E+03
4.879449E+03	0.000000E+00	4.879449E+03
4.542471E+03	0.000000E+00	4.542471E+03
4.564597E+03	0.000000E+00	4.564597E+03
1.594446E+05	0.000000E+00	1.594446E+05
4.541226E+03	0.000000E+00	4.541226E+03
4.519512E+03	0.000000E+00	4.519512E+03
4.520013E+03	0.000000E+00	4.520013E+03
4.561304E+03	0.000000E+00	4.561304E+03
4.537048E+03	0.000000E+00	4.537048E+03
4.524893E+03	0.000000E+00	4.524893E+03
4.488726E+03	0.000000E+00	4.488726E+03
4.590189E+03	0.000000E+00	4.590189E+03
4.485486E+03	0.000000E+00	4.485486E+03
4.488326E+03	0.000000E+00	4.488326E+03
4.207652E+03	0.000000E+00	4.207652E+03
2.177163E+04	0.000000E+00	2.177163E+04
4.232247E+03	0.000000E+00	4.232247E+03
3.404325E+03	0.000000E+00	3.404325E+03
3.405449E+03	0.000000E+00	3.405449E+03
1.720960E+05	0.000000E+00	1.720960E+05
3.328343E+03	0.000000E+00	3.328343E+03
4.808062E+03	0.000000E+00	4.808062E+03
1.374922E+04	0.000000E+00	1.374922E+04
3.329566E+03	0.000000E+00	3.329566E+03
3.329354E+03	0.000000E+00	3.329354E+03
3.437382E+03	0.000000E+00	3.437382E+03
3.291532E+03	0.000000E+00	3.291532E+03
3.232266E+03	0.000000E+00	3.232266E+03
3.167719E+03	0.000000E+00	3.167719E+03
