Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 1.415642E+00 	  1.593442000E+00 	  2.679314122E-01 	 0.000000E+00 	  1.35109951E+01 	  +1.07166700000E+00 	  +3.46941008681E+00 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 0.000000E+00 	  1.574800000E+00 	  2.768793600E-01 	 0.000000E+00 	  1.31093460E+01 	  +1.05193261603E+00 	  +3.48457245968E+00 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  3.108380609E-01 	 0.000000E+00 	  1.27196370E+01 	  +1.05652988017E+00 	  +3.91328708997E+00 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.987787983E-01 	 0.000000E+00 	  1.23415131E+01 	  +1.18651708009E+00 	  +3.58759563608E+00 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.809160354E-01 	 0.000000E+00 	  1.19746299E+01 	  +1.08776672930E+00 	  +3.33539501258E+00 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.756484145E-01 	 0.000000E+00 	  1.16186533E+01 	  +1.01129895668E+00 	  +3.13505274383E+00 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  3.105831146E-01 	 0.000000E+00 	  1.12732589E+01 	  +9.50554748993E-01 	  +3.37440109324E+00 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  2.912664812E-01 	 0.000000E+00 	  1.09381324E+01 	  +1.02312568441E+00 	  +3.11436298216E+00 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  2.766746161E-01 	 0.000000E+00 	  1.06129683E+01 	  +9.44281568660E-01 	  +2.91073657287E+00 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.208223521E-01 	 0.000000E+00 	  1.02974705E+01 	  +8.82541602482E-01 	  +2.74700767277E+00 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.567846997E-01 	 0.000000E+00 	  9.99135173E+00 	  +8.32898647084E-01 	  +2.61167512908E+00 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  3.787710823E-01 	 0.000000E+00 	  9.69433312E+00 	  +7.91865528152E-01 	  +2.88244709641E+00 
