Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 1.613336E+00 	  1.791136000E+00 	  3.420155638E-01 	 0.000000E+00 	  2.61376025E+01 	  +6.88266500000E-01 	  +6.92621172378E+00 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 0.000000E+00 	  1.574800000E+00 	  3.534376565E-01 	 0.000000E+00 	  2.56272663E+01 	  +9.03678332089E-01 	  +6.59719391064E+00 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  3.967860796E-01 	 0.000000E+00 	  2.51871540E+01 	  +8.60750642254E-01 	  +7.36724775139E+00 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.090427972E-01 	 0.000000E+00 	  2.46221616E+01 	  +9.61221288862E-01 	  +5.79438455544E+00 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.862409059E-01 	 0.000000E+00 	  2.40698429E+01 	  +7.56006310429E-01 	  +4.96715359058E+00 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.795167659E-01 	 0.000000E+00 	  2.35299137E+01 	  +6.48075636579E-01 	  +4.51034911037E+00 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  3.964606396E-01 	 0.000000E+00 	  2.30020961E+01 	  +5.88475334533E-01 	  +5.00945564537E+00 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.718028765E-01 	 0.000000E+00 	  2.24861184E+01 	  +6.53594880264E-01 	  +4.44036985919E+00 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.531763000E-01 	 0.000000E+00 	  2.19817149E+01 	  +5.79344985143E-01 	  +4.11453190921E+00 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.095310689E-01 	 0.000000E+00 	  2.14886262E+01 	  +5.36832179166E-01 	  +3.91017190299E+00 
