x,y,extract,cum_extract
8000,5928.97,23.8419,-105615
8000,5809.7,10.502,-107510
8000,5576.37,5.66977,-109200
8000,5239.19,0.770842,-110381
8000,4812.88,-3.7092,-109521
8000,4316.09,-5.3586,-107357
8000,3770.51,-9.73489,-103209
8000,3200,-10.7371,-97238.1
8000,2629.49,-14.5684,-90308.1
8000,2083.91,-18.8161,-80986.4
8000,1587.12,-23.485,-70880.4
8000,1160.81,-37.0796,-58117.8
8000,823.626,-46.1015,-44179.7
8000,590.301,-89.1448,-30052.6
8000,471.032,-171.461,-15209.3
1631.88,2177.17,0.627104,1791.06
1618.25,2138.83,1.32728,1743.47
1591.59,2063.83,0.294868,1678.52
1553.05,1955.45,0.299719,1659.29
1504.33,1818.43,0.191919,1605.37
1447.55,1658.74,-0.415579,1639.47
1385.2,1483.38,-0.127322,1687.53
1320,1300,-0.719671,1760.65
1254.8,1116.62,-0.452513,1899.77
1192.45,941.258,-0.381184,1949.52
1135.67,781.573,-0.553138,2059.22
1086.95,644.546,1.18657,2012.37
1048.41,536.166,0.654093,1895.96
1021.75,461.168,8.84454,1661.22
1008.12,422.832,28.7922,958.621
2439.73,3759.96,4.49505,5163.79
2422.47,3726.31,3.47034,5015.9
2388.73,3660.48,2.92166,4785.97
2339.95,3565.34,2.77767,4481.37
2278.29,3445.06,2.51255,4123.82
2206.43,3304.9,2.318,3745.06
2127.52,3150.97,2.11103,3360.74
2045,2990,1.86875,3001.66
1962.48,2829.03,1.67043,2681.36
1883.57,2675.1,1.4326,2412.48
1811.71,2534.94,1.25568,2201.89
1750.05,2414.66,1.11696,2040.81
1701.27,2319.52,0.977685,1929.32
1667.53,2253.69,1.04123,1856.4
1650.27,2220.04,1.22785,1813.95
4967.66,5971.84,63.3961,2608.07
4913.35,5924.56,29.7318,-586.664
4807.1,5832.06,6.39649,-2793.81
4653.56,5698.39,-9.05542,-2454.14
4459.44,5529.39,-18.49,1465.05
4233.22,5332.45,-11.0643,6168.18
3984.79,5116.17,-3.21787,8288.54
3725,4890,-0.649741,8925.05
3465.21,4663.83,1.73862,8700.1
3216.78,4447.55,2.03688,8045.98
2990.56,4250.61,2.94305,7327.45
2796.44,4081.61,2.68962,6546.01
2642.9,3947.94,2.4119,6075.53
2536.65,3855.44,4.14616,5613.85
2482.34,3808.16,2.93128,5334.93
4829.76,5258.73,38.3648,0
4821.69,5258.95,27.8496,0
4805.9,5259.37,19.0421,0
4783.09,5259.98,15.9243,0
4754.25,5260.75,12.7478,0
4720.64,5261.64,10.2755,0
4683.73,5262.63,9.21401,0
4645.13,5263.66,7.39328,0
4606.53,5264.69,7.35203,0
4569.62,5265.67,7.33419,0
4536.01,5266.57,8.18011,0
4507.17,5267.33,12.3316,0
4484.36,5267.94,15.4926,0
4468.58,5268.36,30.696,0
4460.51,5268.58,58.0356,0
4949.27,5527.92,78.2436,0
4946.8,5522.11,52.0525,0
4941.96,5510.75,35.9294,0
4934.96,5494.32,31.4849,0
4926.11,5473.56,26.6205,0
4915.81,5449.36,24.4859,0
4904.49,5422.78,23.2292,0
4892.65,5394.99,21.8184,0
4880.82,5367.2,22.0487,0
4869.5,5340.63,21.6624,0
4859.19,5316.43,22.4987,0
4850.35,5295.66,24.3214,0
4843.35,5279.24,25.9152,0
4838.51,5267.87,33.7787,0
4836.03,5262.06,45.1006,0
4752.35,5544.72,49.9076,0
4756.63,5544.43,38.9848,0
4765.01,5543.87,29.7808,0
4777.1,5543.05,27.1555,0
4792.4,5542.03,24.4058,0
4810.23,5540.83,22.432,0
4829.8,5539.51,22.4143,0
4850.27,5538.14,21.4714,0
4870.75,5536.76,22.8719,0
4890.32,5535.44,24.2632,0
4908.15,5534.25,26.5801,0
4923.44,5533.22,33.03,0
4935.54,5532.4,37.7727,0
4943.92,5531.84,58.8533,0
4948.2,5531.55,96.5927,0
4459.43,5272.21,68.9812,0
4465.7,5278.09,45.4664,0
4477.95,5289.6,32.9217,0
4495.66,5306.23,30.7765,0
4518.05,5327.25,27.4995,0
4544.14,5351.76,26.7441,0
4572.79,5378.66,26.2588,0
4602.75,5406.8,25.4958,0
4632.72,5434.93,25.9126,0
4661.37,5461.84,25.4672,0
4687.46,5486.34,26.1571,0
4709.85,5507.37,27.2983,0
4727.56,5524,28.6773,0
4739.81,5535.5,34.5749,0
4746.07,5541.39,41.4857,0
