Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 1.195673E+01 	  1.213453178E+01 	  2.532430300E-01 	 1.057538E+01 	  2.28445570E+01 	  +2.03065900000E+01 	  +5.43038601149E+01 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 1.057538E+01 	  1.215017822E+01 	  2.617004385E-01 	 0.000000E+00 	  1.15711167E+01 	  +5.19553945900E+01 	  +6.89185733879E+01 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  2.937974750E-01 	 0.000000E+00 	  5.93336936E+00 	  +6.59380689950E+01 	  +6.74084129795E+01 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.769171757E-01 	 0.000000E+00 	  2.42889535E+00 	  +6.44932181179E+01 	  +6.24017339039E+01 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.600336749E-01 	 0.000000E+00 	  9.94297217E-01 	  +5.97030616464E+01 	  +5.61062568189E+01 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.550548325E-01 	 0.000000E+00 	  4.07027398E-01 	  +5.36798434923E+01 	  +4.98011308752E+01 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  2.935565052E-01 	 0.000000E+00 	  2.51661740E-01 	  +4.76473937612E+01 	  +4.42129764561E+01 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  2.752988372E-01 	 0.000000E+00 	  1.03020728E-01 	  +4.23009088657E+01 	  +3.89561091432E+01 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  2.615069189E-01 	 0.000000E+00 	  4.21727609E-02 	  +3.72713839853E+01 	  +3.42599275302E+01 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.032344131E-01 	 0.000000E+00 	  1.72639215E-02 	  +3.27782969698E+01 	  +3.01036234645E+01 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.372252535E-01 	 0.000000E+00 	  7.06719173E-03 	  +2.88017395518E+01 	  +2.64408206365E+01 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  3.580063112E-01 	 0.000000E+00 	  8.09812973E-02 	  +2.52973410462E+01 	  +2.34578389229E+01 
13   	  0.00000000000E+00 	  +2.138888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.551712951E-01 	 0.000000E+00 	  3.31506577E-02 	  +2.24433636005E+01 	  +2.06402522548E+01 
