Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 5.182346E-01 	  6.960346000E-01 	  3.139488340E-01 	 0.000000E+00 	  8.88060134E+00 	  +6.88266500000E-01 	  +5.07181165052E+00 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 0.000000E+00 	  1.574800000E+00 	  3.244335985E-01 	 0.000000E+00 	  8.34052446E+00 	  +5.89154354065E-01 	  +4.56964260740E+00 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  3.642247318E-01 	 0.000000E+00 	  7.83329254E+00 	  +5.30821139306E-01 	  +4.55201240115E+00 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.672693571E-01 	 0.000000E+00 	  7.35690812E+00 	  +5.28773170357E-01 	  +4.03539050322E+00 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.463386512E-01 	 0.000000E+00 	  6.90949517E+00 	  +4.68761075755E-01 	  +3.67814951373E+00 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.401663124E-01 	 0.000000E+00 	  6.48929181E+00 	  +4.27263066974E-01 	  +3.40231025205E+00 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  3.639259983E-01 	 0.000000E+00 	  6.09464325E+00 	  +3.95220886933E-01 	  +3.37828418156E+00 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.412917186E-01 	 0.000000E+00 	  5.72399539E+00 	  +3.92429958362E-01 	  +3.06351660476E+00 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.241936896E-01 	 0.000000E+00 	  5.37588861E+00 	  +3.55865767661E-01 	  +2.82622760004E+00 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.759238325E-01 	 0.000000E+00 	  5.04895206E+00 	  +3.28301682097E-01 	  +2.63057468132E+00 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.180627405E-01 	 0.000000E+00 	  4.74189827E+00 	  +3.05574148645E-01 	  +2.45950779978E+00 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  4.438253008E-01 	 0.000000E+00 	  4.45351807E+00 	  +2.85702590897E-01 	  +2.51807262947E+00 
13   	  0.00000000000E+00 	  +2.138888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.403106926E-01 	 0.000000E+00 	  4.18267581E+00 	  +2.92505628310E-01 	  +2.26166396576E+00 
14   	  0.00000000000E+00 	  +2.077777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.243063329E-01 	 0.000000E+00 	  3.92830492E+00 	  +2.62720555232E-01 	  +2.07595895913E+00 
15   	  0.00000000000E+00 	  +2.177777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.488551351E-01 	 0.000000E+00 	  3.68940368E+00 	  +2.41148596184E-01 	  +1.92724857035E+00 
16   	  0.00000000000E+00 	  +2.283333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.760871339E-01 	 0.000000E+00 	  3.46503130E+00 	  +2.23874024674E-01 	  +1.79956782103E+00 
17   	  0.00000000000E+00 	  +2.405555600000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.094744588E-01 	 0.000000E+00 	  3.25430421E+00 	  +2.09042308795E-01 	  +1.68524165225E+00 
18   	  6.09600000000E-01 	  +2.294444400000E+01 	 0.000000E+00 	  6.096000000E-01 	  4.773952564E-01 	 0.000000E+00 	  3.05639256E+00 	  +1.95761894465E-01 	  +1.58047502631E+00 
19   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.140022336E-01 	 0.000000E+00 	  2.87051698E+00 	  +1.83591940593E-01 	  +1.48329549558E+00 
20   	  0.00000000000E+00 	  +2.250000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.636197677E-01 	 0.000000E+00 	  2.69594548E+00 	  +1.72303322719E-01 	  +1.39259290967E+00 
21   	  1.01600000000E-01 	  +1.883333300000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.738000993E-01 	 0.000000E+00 	  2.53199062E+00 	  +1.61767082988E-01 	  +1.30767082792E+00 
22   	  1.21920000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  1.219200000E+00 	  3.804334402E-01 	 0.000000E+00 	  2.37800672E+00 	  +1.51902321111E-01 	  +1.24028642291E+00 
23   	  0.00000000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.796277382E-01 	 0.000000E+00 	  2.23338741E+00 	  +1.44074779723E-01 	  +1.15901565511E+00 
24   	  5.56260000000E+00 	  +1.822222200000E+01 	 0.000000E+00 	  5.562600000E+00 	  3.582356317E-01 	 0.000000E+00 	  2.09756317E+00 	  +1.34634163626E-01 	  +9.16598978416E+00 
25   	  4.31800000000E-01 	  +2.261111100000E+01 	 0.000000E+00 	  4.318000000E-01 	  4.616634928E-01 	 0.000000E+00 	  1.96999913E+00 	  +1.06474434832E+00 	  +4.78674185060E+00 
26   	  5.08000000000E-02 	  +2.438888900000E+01 	 0.000000E+00 	  5.080000000E-02 	  5.096262533E-01 	 0.000000E+00 	  1.85019295E+00 	  +5.56039931564E-01 	  +2.71330885135E+00 
27   	  0.00000000000E+00 	  +2.533333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.361907876E-01 	 0.000000E+00 	  1.73767282E+00 	  +3.15184757213E-01 	  +1.71710013434E+00 
28   	  0.00000000000E+00 	  +2.511111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.282847166E-01 	 0.000000E+00 	  1.63199563E+00 	  +1.99462655600E-01 	  +1.22504013195E+00 
29   	  0.00000000000E+00 	  +2.500000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.237198145E-01 	 0.000000E+00 	  1.53274525E+00 	  +1.42303732349E-01 	  +9.69763543556E-01 
30   	  1.29540000000E+00 	  +2.494444400000E+01 	 0.000000E+00 	  1.295400000E+00 	  5.207906511E-01 	 0.000000E+00 	  1.43953081E+00 	  +1.12650163979E-01 	  +1.00229782548E+00 
31   	  1.11760000000E+00 	  +2.416666700000E+01 	 0.000000E+00 	  1.117600000E+00 	  4.971745477E-01 	 0.000000E+00 	  1.35198524E+00 	  +1.16429427715E-01 	  +9.72797936275E-01 
32   	  0.00000000000E+00 	  +2.288888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.611363066E-01 	 0.000000E+00 	  1.26976378E+00 	  +1.13002646643E-01 	  +7.83763152805E-01 
33   	  0.00000000000E+00 	  +2.200000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.370634940E-01 	 0.000000E+00 	  1.19254266E+00 	  +9.10438923700E-02 	  +6.75530952068E-01 
34   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.963792834E-01 	 0.000000E+00 	  1.12001776E+00 	  +7.84713686431E-02 	  +6.06202356360E-01 
