Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 5.045853E+00 	  5.223652755E+00 	  4.208924960E-01 	 4.422597E+01 	  1.87284441E+02 	  +4.11868800000E+02 	  +2.07229208482E+01 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 5.227358E+00 	  6.802158400E+00 	  4.349487952E-01 	 3.899861E+01 	  1.80499626E+02 	  +4.17672051807E+02 	  +2.09968619818E+01 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 5.862628E+00 	  7.996227505E+00 	  4.882943967E-01 	 3.313598E+01 	  1.74017051E+02 	  +4.23193356270E+02 	  +2.13238333726E+01 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 7.260220E+00 	  7.260219927E+00 	  6.264401863E-01 	 2.587576E+01 	  1.67764221E+02 	  +4.29783489615E+02 	  +2.16308100697E+01 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 7.006112E+00 	  7.006112155E+00 	  5.983796359E-01 	 1.886965E+01 	  1.61737735E+02 	  +4.35970628381E+02 	  +2.19367793232E+01 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 6.933510E+00 	  6.933510027E+00 	  5.901047491E-01 	 1.193614E+01 	  1.56385827E+02 	  +4.42137462045E+02 	  +2.22483198214E+01 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 5.880778E+00 	  7.582578200E+00 	  4.878939025E-01 	 6.055361E+00 	  1.53544117E+02 	  +4.48416584570E+02 	  +2.25917029735E+01 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 5.535918E+00 	  5.637517605E+00 	  4.575494723E-01 	 5.194434E-01 	  1.50413432E+02 	  +4.55337498217E+02 	  +2.28538524887E+01 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 5.194434E-01 	  5.194434260E-01 	  4.346271636E-01 	 0.000000E+00 	  1.45011242E+02 	  +4.60621141710E+02 	  +2.29757509304E+01 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.039786840E-01 	 0.000000E+00 	  1.39757872E+02 	  +4.63078014109E+02 	  +2.30841580029E+01 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.604718072E-01 	 0.000000E+00 	  1.34694818E+02 	  +4.65262966932E+02 	  +2.31824741162E+01 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  5.950101368E-01 	 0.000000E+00 	  1.29914939E+02 	  +4.67244535701E+02 	  +2.32829797667E+01 
13   	  0.00000000000E+00 	  +2.138888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.902983111E-01 	 0.000000E+00 	  1.25208467E+02 	  +4.69270234761E+02 	  +2.33624171726E+01 
14   	  0.00000000000E+00 	  +2.077777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.688422196E-01 	 0.000000E+00 	  1.20672499E+02 	  +4.70871301741E+02 	  +2.34329299945E+01 
15   	  0.00000000000E+00 	  +2.177777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.017533360E-01 	 0.000000E+00 	  1.16300856E+02 	  +4.72292493049E+02 	  +2.34948811635E+01 
16   	  0.00000000000E+00 	  +2.283333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.382616543E-01 	 0.000000E+00 	  1.12087587E+02 	  +4.73541123591E+02 	  +2.35486202033E+01 
17   	  0.00000000000E+00 	  +2.405555600000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.830220514E-01 	 0.000000E+00 	  1.08026953E+02 	  +4.74624238040E+02 	  +2.35944837173E+01 
18   	  6.09600000000E-01 	  +2.294444400000E+01 	 0.000000E+00 	  6.096000000E-01 	  6.400153761E-01 	 0.000000E+00 	  1.04113425E+02 	  +4.75548620666E+02 	  +2.36333884606E+01 
19   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.890921694E-01 	 0.000000E+00 	  1.00341673E+02 	  +4.76332748738E+02 	  +2.36644575016E+01 
20   	  0.00000000000E+00 	  +2.250000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.215473992E-01 	 0.000000E+00 	  9.67065625E+01 	  +4.76958947632E+02 	  +2.36885879445E+01 
21   	  1.01600000000E-01 	  +1.883333300000E+01 	 0.000000E+00 	  1.016000000E-01 	  5.011315215E-01 	 0.000000E+00 	  9.32031420E+01 	  +4.77445298551E+02 	  +2.37060692422E+01 
22   	  1.21920000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  1.219200000E+00 	  5.100244463E-01 	 0.000000E+00 	  8.98266410E+01 	  +4.77797635439E+02 	  +2.37223085140E+01 
23   	  0.00000000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.089442897E-01 	 0.000000E+00 	  8.65724616E+01 	  +4.78124939203E+02 	  +2.37272837274E+01 
24   	  5.56260000000E+00 	  +1.822222200000E+01 	 0.000000E+00 	  5.562600000E+00 	  4.802651670E-01 	 0.000000E+00 	  8.34593255E+01 	  +4.78225215008E+02 	  +2.38354046037E+01 
25   	  4.31800000000E-01 	  +2.261111100000E+01 	 0.000000E+00 	  4.318000000E-01 	  6.189247381E-01 	 0.000000E+00 	  8.04461389E+01 	  +4.80404399526E+02 	  +2.38311481618E+01 
26   	  5.08000000000E-02 	  +2.438888900000E+01 	 0.000000E+00 	  5.080000000E-02 	  6.832255533E-01 	 0.000000E+00 	  7.75317900E+01 	  +4.80318610614E+02 	  +2.38186599556E+01 
27   	  0.00000000000E+00 	  +2.533333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  7.188390416E-01 	 0.000000E+00 	  7.47230203E+01 	  +4.80066909865E+02 	  +2.38010495536E+01 
28   	  0.00000000000E+00 	  +2.511111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  7.082398434E-01 	 0.000000E+00 	  7.20160048E+01 	  +4.79711970868E+02 	  +2.37785390430E+01 
29   	  0.00000000000E+00 	  +2.500000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  7.021199511E-01 	 0.000000E+00 	  6.94070572E+01 	  +4.79258269809E+02 	  +2.37513422262E+01 
30   	  1.29540000000E+00 	  +2.494444400000E+01 	 0.000000E+00 	  1.295400000E+00 	  6.981929962E-01 	 0.000000E+00 	  6.68926249E+01 	  +4.78710115890E+02 	  +2.37250852573E+01 
31   	  1.11760000000E+00 	  +2.416666700000E+01 	 0.000000E+00 	  1.117600000E+00 	  6.665322934E-01 	 0.000000E+00 	  6.44692837E+01 	  +4.78180904677E+02 	  +2.36967241254E+01 
32   	  0.00000000000E+00 	  +2.288888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.182179710E-01 	 0.000000E+00 	  6.21337336E+01 	  +4.77609283898E+02 	  +2.36565875179E+01 
33   	  0.00000000000E+00 	  +2.200000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.859449854E-01 	 0.000000E+00 	  5.98827944E+01 	  +4.76800327510E+02 	  +2.36125433956E+01 
34   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.654661300E-01 	 0.000000E+00 	  5.77134006E+01 	  +4.75912614861E+02 	  +2.35647684450E+01 
35   	  0.00000000000E+00 	  +2.366666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.410687956E-01 	 0.000000E+00 	  5.56225982E+01 	  +4.74949707085E+02 	  +2.35134327220E+01 
36   	  0.00000000000E+00 	  +2.600000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  7.290236892E-01 	 0.000000E+00 	  5.36075400E+01 	  +4.73915031668E+02 	  +2.34586998929E+01 
