Run   obj.function   <x>           <y>           
1     2.394546E+02  1.834983E+01  1.746160E-01  
2     2.396439E+02  1.917491E+01  -3.030849E-01  
3     3.152697E+02  1.679699E+01  -5.270294E+00  
4     2.397361E+02  1.940557E+01  -8.520068E+00  
5     3.155719E+02  1.839850E+01  -5.021679E+00  
6     2.399730E+02  1.857205E+01  -1.409056E+01  
7     3.155336E+02  1.851864E+01  -4.525775E+00  
8     2.397251E+02  1.767484E+01  -8.613436E+00  
9     3.153302E+02  1.802065E+01  -4.232041E+00  
10    4.245387E+06  1.796785E+01  1.424494E+01  
