Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 1.020462E+00 	  1.198262293E+00 	  2.814855184E-01 	 4.580871E-02 	  2.53944952E+01 	  +6.88266500000E-01 	  +3.87057175823E+00 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 4.580871E-02 	  1.620608707E+00 	  2.908861247E-01 	 0.000000E+00 	  2.48248517E+01 	  +7.59914604528E-01 	  +4.21836481840E+00 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  3.265627273E-01 	 0.000000E+00 	  2.42679864E+01 	  +8.28197287885E-01 	  +5.06266562510E+00 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.189522081E-01 	 0.000000E+00 	  2.37236125E+01 	  +9.93960010734E-01 	  +4.67217368090E+00 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.001858043E-01 	 0.000000E+00 	  2.31914499E+01 	  +9.17294197546E-01 	  +4.40223932629E+00 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.946517051E-01 	 0.000000E+00 	  2.26712246E+01 	  +8.64297619483E-01 	  +4.20502428256E+00 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  3.262948838E-01 	 0.000000E+00 	  2.21626689E+01 	  +8.25578122385E-01 	  +4.56227188120E+00 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.060010611E-01 	 0.000000E+00 	  2.16655210E+01 	  +8.95717028107E-01 	  +4.23036040501E+00 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  2.906710232E-01 	 0.000000E+00 	  2.11795250E+01 	  +8.30552397679E-01 	  +3.99857449787E+00 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.370521035E-01 	 0.000000E+00 	  2.07044308E+01 	  +7.85045556065E-01 	  +3.82725230450E+00 
