True Cost 	Penalty 	Adjusted Cost
3.823081E+07	0.000000E+00	3.823081E+07
2.875885E+07	0.000000E+00	2.875885E+07
2.799328E+07	0.000000E+00	2.799328E+07
3.167583E+06	0.000000E+00	3.167583E+06
2.239369E+06	0.000000E+00	2.239369E+06
1.438815E+05	0.000000E+00	1.438815E+05
2.200509E+06	0.000000E+00	2.200509E+06
2.597548E+06	0.000000E+00	2.597548E+06
2.858080E+05	0.000000E+00	2.858080E+05
1.401430E+05	0.000000E+00	1.401430E+05
1.521958E+05	0.000000E+00	1.521958E+05
2.306076E+06	0.000000E+00	2.306076E+06
2.739843E+06	0.000000E+00	2.739843E+06
2.038831E+04	0.000000E+00	2.038831E+04
1.128577E+05	0.000000E+00	1.128577E+05
3.337136E+05	0.000000E+00	3.337136E+05
6.944598E+03	0.000000E+00	6.944598E+03
1.358932E+04	0.000000E+00	1.358932E+04
1.808050E+05	0.000000E+00	1.808050E+05
1.641673E+04	0.000000E+00	1.641673E+04
5.661913E+03	0.000000E+00	5.661913E+03
1.751821E+04	0.000000E+00	1.751821E+04
3.686908E+04	0.000000E+00	3.686908E+04
5.415028E+03	0.000000E+00	5.415028E+03
2.457609E+04	0.000000E+00	2.457609E+04
8.087395E+03	0.000000E+00	8.087395E+03
5.408375E+03	0.000000E+00	5.408375E+03
5.438390E+03	0.000000E+00	5.438390E+03
5.626965E+03	0.000000E+00	5.626965E+03
5.333298E+03	0.000000E+00	5.333298E+03
5.390731E+03	0.000000E+00	5.390731E+03
5.300396E+03	0.000000E+00	5.300396E+03
