Run   obj.function   <kb>          <kn>          <mlt>         <sn0>         <gw0>         <st0>         <CN1>         <CN2>         <ss1>         <ss2>         <kh>          
1     1.233618E+07  3.382962E-01  3.580189E-01  2.583157E+00  1.536529E+00  9.915650E+02  3.298751E+02  9.057675E+01  6.529843E+01  1.781463E+01  1.769379E+01  1.194302E+00  
2     6.713687E+07  8.456140E-01  7.694222E-01  2.186192E+00  1.754891E+01  5.809572E+02  8.525167E+02  9.384263E+01  6.387815E+01  3.049616E+00  1.325163E+01  1.307717E+00  
3     1.937478E+06  4.453618E-01  2.702887E-01  7.797553E-01  5.810296E+01  2.551431E+02  2.146648E+02  9.201165E+01  9.655448E+01  2.283938E+01  1.870230E+01  9.862486E-01  
4     3.389295E+05  6.448653E-01  9.308909E-02  7.772266E-01  2.994865E+01  1.543764E+02  1.774965E+02  7.463449E+01  9.026563E+01  1.480966E+01  1.105135E+01  1.018439E+00  
5     4.433492E+05  7.455631E-01  1.219840E-01  2.389443E+00  2.253211E+01  1.687660E+02  1.667849E+02  7.635561E+01  7.601839E+01  1.532550E+01  1.159520E+01  9.176821E-01  
6     1.133882E+05  5.906381E-01  1.641665E-01  7.741769E-01  4.659292E+01  4.861816E+01  6.185651E+01  8.365249E+01  7.024107E+01  2.412711E+01  1.489948E+01  1.414613E+00  
7     3.232239E+04  6.562963E-01  1.219840E-01  7.741769E-01  1.568155E+01  4.861816E+01  2.907909E+01  7.893176E+01  8.531280E+01  1.532550E+01  1.444373E+01  1.128399E+00  
8     2.087312E+04  5.315648E-01  1.685491E-01  7.741769E-01  2.253211E+01  2.761455E+01  2.030659E+01  7.126317E+01  7.834256E+01  1.532550E+01  1.444373E+01  9.707332E-01  
9     6.889047E+03  5.315648E-01  8.902842E-02  7.741769E-01  3.479652E+00  5.461231E+00  2.871326E+01  7.424161E+01  8.887512E+01  2.132173E+01  1.444373E+01  1.266898E+00  
10    6.704926E+03  5.502515E-01  8.902842E-02  7.741769E-01  3.479652E+00  5.461231E+00  2.871326E+01  7.424161E+01  8.339822E+01  2.132173E+01  1.445406E+01  1.154065E+00  
11    5.789909E+03  5.502515E-01  8.902842E-02  2.426495E+00  3.479652E+00  5.461231E+00  2.871326E+01  6.407015E+01  7.218794E+01  2.132173E+01  8.501640E+00  1.154065E+00  
12    1.049757E+05  8.392806E-01  8.902842E-02  2.327751E+00  2.542432E+01  1.595815E+02  2.871326E+01  6.407015E+01  7.218794E+01  2.132173E+01  7.297663E+00  1.154065E+00  
13    7.318319E+03  5.502515E-01  8.902842E-02  2.426495E+00  3.479652E+00  1.488051E+01  2.871326E+01  6.407015E+01  7.027264E+01  2.132173E+01  8.501640E+00  1.154065E+00  
14    5.490895E+03  3.482052E-01  3.791756E-01  2.426495E+00  3.479652E+00  5.461231E+00  1.289037E+01  6.407015E+01  7.218794E+01  2.132173E+01  8.501640E+00  1.154065E+00  
15    1.802528E+05  5.502515E-01  1.157312E-01  1.445451E+00  2.386102E+01  2.022580E+02  2.871326E+01  6.407015E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.154065E+00  
16    1.521455E+04  4.561740E-01  1.988036E-01  2.426495E+00  3.479652E+00  3.664568E+01  1.581298E+01  6.407015E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.154065E+00  
17    2.404831E+06  5.502515E-01  1.988036E-01  2.426495E+00  3.407952E+01  2.946274E+02  3.462419E+02  5.649500E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.297183E+00  
18    4.730791E+04  5.502515E-01  1.988036E-01  3.689543E+00  2.408863E+01  7.022352E+01  1.581298E+01  5.088207E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.463902E+00  
