Run   obj.function   <kb>          <kn>          <mlt>         <sn0>         <gw0>         <st0>         <CN1>         <CN2>         <ss1>         <ss2>         <kh>          
1     7.518163E+06  1.883068E-01  3.379238E-01  1.342465E+00  8.161108E+01  4.979371E+02  5.377146E+02  5.528512E+01  7.979140E+01  2.080383E+01  1.444351E+01  1.998226E+00  
2     1.060844E+06  4.449319E-01  1.921509E-01  7.827552E-01  5.170127E+01  1.632648E+02  2.604432E+02  5.505389E+01  9.812591E+01  1.640437E+01  1.581695E+01  1.201349E+00  
3     1.353104E+05  7.120179E-01  9.308909E-02  1.250988E+00  4.159618E+01  1.124548E+02  7.262734E+01  7.195874E+01  9.943953E+01  1.598800E+01  1.904037E+01  9.448646E-01  
4     1.031965E+05  5.906381E-01  1.358558E-01  8.765346E-01  3.150213E+01  4.861816E+01  7.555519E+01  9.349608E+01  8.076177E+01  1.568310E+01  1.770184E+01  9.176821E-01  
5     5.301207E+04  5.906381E-01  2.993093E-02  1.215018E+00  2.253211E+01  1.916322E+02  3.762607E+01  7.893176E+01  7.580752E+01  8.927411E+00  2.322200E+01  9.359130E-01  
6     8.075979E+05  9.715973E-01  5.516690E-02  7.741769E-01  2.784564E+01  2.678754E+02  4.110562E+02  9.033726E+01  7.329194E+01  2.002789E+01  1.444373E+01  1.094864E+00  
7     6.488797E+04  8.789288E-01  2.376816E-01  1.124511E+00  4.879332E+01  4.861816E+01  2.343686E+00  7.893176E+01  8.531280E+01  1.532550E+01  1.056356E+01  9.176821E-01  
8     4.542777E+05  5.906381E-01  9.227428E-02  7.741769E-01  3.339632E+00  4.861816E+01  3.577804E+02  7.462039E+01  8.531280E+01  1.863335E+01  1.914131E+01  9.074508E-01  
9     1.148867E+05  5.315648E-01  1.685491E-01  7.741769E-01  3.546071E-01  1.430461E+02  2.030659E+01  7.126317E+01  7.834256E+01  8.123360E+00  1.552855E+01  9.707332E-01  
10    1.749027E+05  5.220699E-01  5.808088E-02  1.788630E-01  2.253211E+01  2.977059E+02  2.030659E+01  7.126317E+01  7.445689E+01  1.966646E+01  1.444373E+01  9.707332E-01  
11    8.618136E+05  6.860111E-01  8.902842E-02  7.741769E-01  3.479652E+00  5.461231E+00  5.592344E+02  7.886514E+01  8.887512E+01  2.132173E+01  1.444373E+01  1.043982E+00  
