Run   obj.function   <kb>          <kn>          <mlt>         <sn0>         <gw0>         <st0>         <CN1>         <CN2>         <ss1>         <ss2>         <kh>          
32    3.192738E+03  5.415522E-02  1.988036E-01  2.500213E+00  3.479652E+00  5.461231E+00  6.575346E+00  6.460876E+01  6.673744E+01  1.213914E+01  5.439274E+00  1.075294E+00  
33    4.028522E+04  5.415522E-02  1.988036E-01  2.500213E+00  3.479652E+00  5.461231E+00  7.876574E+01  6.460876E+01  6.792139E+01  1.213914E+01  5.439274E+00  9.749890E-01  
34    8.607541E+04  4.405618E-02  2.210591E-01  2.500213E+00  3.479652E+00  2.793772E+02  6.575346E+00  5.321170E+01  6.673744E+01  1.213914E+01  5.439274E+00  1.384691E+00  
35    1.610830E+05  5.415522E-02  2.603070E-01  2.500213E+00  3.479652E+00  5.461231E+00  1.377971E+02  6.460876E+01  6.673744E+01  1.213914E+01  4.036006E+00  1.075294E+00  
36    3.346667E+03  5.415522E-02  1.988036E-01  2.579617E+00  3.479652E+00  5.461231E+00  6.575346E+00  6.460876E+01  6.673744E+01  1.542573E+01  5.439274E+00  1.414417E+00  
37    1.169565E+05  5.415522E-02  2.126612E-01  2.500213E+00  1.289183E+01  5.461231E+00  1.270359E+02  6.460876E+01  6.841631E+01  1.939335E+01  9.246693E+00  1.075294E+00  
38    8.694710E+04  5.415522E-02  2.126612E-01  2.500213E+00  3.479652E+00  2.587701E+02  5.657662E+00  6.460876E+01  6.171007E+01  1.716754E+01  9.246693E+00  1.075294E+00  
39    7.340019E+05  3.672600E-01  2.126612E-01  2.500213E+00  3.479652E+00  3.995256E+02  5.657662E+00  6.460876E+01  6.171007E+01  1.716754E+01  5.530056E+00  1.156174E+00  
40    3.221007E+03  9.867505E-02  2.126612E-01  2.500213E+00  1.628190E+00  5.461231E+00  5.657662E+00  6.460876E+01  6.171007E+01  1.716754E+01  9.246693E+00  1.075294E+00  
41    3.177093E+03  5.415522E-02  2.126612E-01  2.500213E+00  3.479652E+00  5.461231E+00  5.657662E+00  6.460876E+01  6.171007E+01  4.965870E+00  9.246693E+00  1.069229E+00  
42    2.404623E+03  5.415522E-02  3.456760E-01  2.500213E+00  3.479652E+00  5.564724E+00  5.657662E+00  7.191265E+01  6.171007E+01  1.716754E+01  9.246693E+00  1.075294E+00  
43    2.822815E+04  5.415522E-02  3.456760E-01  2.500213E+00  3.479652E+00  5.564724E+00  4.723003E+01  7.191265E+01  6.171007E+01  1.716754E+01  9.246693E+00  1.075294E+00  
44    2.706443E+03  5.415522E-02  3.456760E-01  2.500213E+00  7.814167E+00  5.564724E+00  5.657662E+00  7.191265E+01  6.171007E+01  1.716754E+01  9.246693E+00  1.075294E+00  
45    2.312390E+03  5.415522E-02  3.456760E-01  2.500213E+00  3.479652E+00  5.564724E+00  5.657662E+00  7.762261E+01  8.605522E+01  1.716754E+01  9.246693E+00  1.075294E+00  
46    2.180333E+03  5.415522E-02  3.456760E-01  2.500213E+00  3.479652E+00  5.564724E+00  5.657662E+00  7.191265E+01  8.605522E+01  1.617404E+01  9.246693E+00  1.075294E+00  
47    2.961817E+05  5.415522E-02  3.456760E-01  2.500213E+00  3.479652E+00  5.564724E+00  1.565365E+02  7.552505E+01  8.605522E+01  1.617404E+01  9.246693E+00  1.075294E+00  
48    2.698060E+03  5.415522E-02  3.456760E-01  2.500213E+00  3.479652E+00  5.564724E+00  5.657662E+00  8.511728E+01  8.605522E+01  1.617404E+01  9.246693E+00  1.075294E+00  
49    2.246385E+03  2.365586E-02  3.456760E-01  2.500213E+00  3.479652E+00  5.564724E+00  5.657662E+00  7.191265E+01  8.605522E+01  2.247483E+01  9.246693E+00  1.075294E+00  
50    2.816644E+03  2.280450E-01  3.456760E-01  2.500213E+00  3.479652E+00  5.564724E+00  5.657662E+00  7.191265E+01  8.605522E+01  1.617404E+01  9.246693E+00  1.075294E+00  
