Run   obj.function   <kb>          <kn>          <mlt>         <sn0>         <gw0>         <st0>         <CN1>         <CN2>         <ss1>         <ss2>         <kh>          
1     9.412988E+04  6.448653E-01  9.308909E-02  9.095028E-01  4.345313E+01  7.141942E+01  7.262734E+01  7.591010E+01  8.848742E+01  1.837389E+01  1.794532E+01  1.018439E+00  
2     3.051495E+04  5.906381E-01  1.219840E-01  7.741769E-01  2.253211E+01  4.861816E+01  2.030659E+01  7.893176E+01  8.531280E+01  1.532550E+01  1.444373E+01  9.176821E-01  
3     5.424243E+05  9.435754E-01  1.219840E-01  1.252895E+00  2.084223E+01  3.461594E+02  2.030659E+01  7.092364E+01  9.439543E+01  1.920041E+01  1.718672E+01  1.051924E+00  
4     5.260141E+05  5.906381E-01  2.550828E-01  1.200038E+00  2.019164E+01  1.403856E+02  1.206533E+02  6.064666E+01  8.531280E+01  1.041653E+01  1.549492E+01  1.272977E+00  
5     4.105009E+05  5.906381E-01  4.168002E-01  1.533742E+00  2.253211E+01  4.861816E+01  1.048220E+02  8.083676E+01  8.531280E+01  1.458044E+01  1.285510E+01  9.223724E-01  
6     6.838118E+04  6.780686E-01  1.219840E-01  2.145278E+00  2.253211E+01  1.082985E+02  2.030659E+01  5.610243E+01  8.531280E+01  1.532550E+01  1.444373E+01  9.176821E-01  
7     7.314373E+04  5.315648E-01  2.709388E-01  7.741769E-01  2.253211E+01  6.161514E+01  2.030659E+01  7.776978E+01  7.834256E+01  1.532550E+01  1.078185E+01  9.707332E-01  
8     1.335152E+04  5.315648E-01  8.902842E-02  7.741769E-01  1.985049E+01  5.461231E+00  2.871326E+01  9.322668E+01  8.887512E+01  2.132173E+01  1.444373E+01  1.266898E+00  
9     7.024427E+03  5.315648E-01  8.902842E-02  7.741769E-01  3.479652E+00  5.461231E+00  2.871326E+01  7.542589E+01  8.887512E+01  2.132173E+01  1.444373E+01  1.254036E+00  
10    6.285443E+03  2.731338E-01  8.902842E-02  3.997295E-01  3.479652E+00  5.461231E+00  2.871326E+01  7.424161E+01  7.282108E+01  2.132173E+01  1.817671E+01  1.018448E+00  
11    5.798145E+03  8.132783E-01  8.902842E-02  1.758486E+00  3.479652E+00  5.461231E+00  2.871326E+01  6.407015E+01  7.218794E+01  2.132173E+01  8.501640E+00  1.358496E+00  
12    5.890946E+03  6.154681E-01  8.902842E-02  2.789679E+00  3.479652E+00  5.461231E+00  2.871326E+01  6.407015E+01  6.925110E+01  2.132173E+01  8.501640E+00  1.384407E+00  
13    2.903440E+05  5.502515E-01  2.701914E-01  2.426495E+00  3.479652E+00  7.337780E+01  1.207757E+02  6.787947E+01  7.218794E+01  2.132173E+01  9.933613E+00  1.154065E+00  
14    5.351983E+03  5.502515E-01  5.094003E-03  2.426495E+00  3.479652E+00  5.461231E+00  2.871326E+01  6.407015E+01  8.623944E+01  1.707709E+01  1.102750E+01  1.028680E+00  
15    1.000301E+04  7.807588E-01  1.988036E-01  2.426495E+00  2.622398E+01  5.461231E+00  1.581298E+01  6.407015E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.154065E+00  
16    6.462806E+03  5.502515E-01  1.988036E-01  2.426495E+00  1.395803E+01  5.461231E+00  1.581298E+01  6.407015E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.154065E+00  
17    5.720785E+03  6.398853E-01  2.477506E-01  1.775302E+00  3.479652E+00  5.461231E+00  1.581298E+01  6.490125E+01  7.218794E+01  2.225762E+01  8.501640E+00  1.154065E+00  
18    6.287043E+03  5.502515E-01  1.988036E-01  2.426495E+00  1.418296E+01  5.461231E+00  1.581298E+01  6.407015E+01  7.218794E+01  1.845561E+01  4.658591E-02  1.154065E+00  
19    5.382747E+03  5.502515E-01  1.988036E-01  2.047681E+00  4.511611E+00  5.461231E+00  1.581298E+01  7.278747E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.219028E+00  
20    7.738324E+03  2.712552E-01  2.004516E-01  2.500213E+00  2.328826E+01  5.461231E+00  1.581298E+01  5.516608E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.308714E+00  
21    2.306017E+04  2.712552E-01  1.988036E-01  2.500213E+00  3.479652E+00  5.461231E+00  5.550805E+01  6.407015E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.154065E+00  
22    9.782417E+04  2.712552E-01  1.988036E-01  2.500213E+00  3.479652E+00  5.461231E+00  1.221176E+02  6.407015E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.395339E+00  
23    2.274086E+04  2.712552E-01  9.416337E-03  2.500213E+00  5.851481E+01  2.230175E+02  2.663270E+01  5.635822E+01  7.218794E+01  1.677173E+01  1.753338E+01  1.154065E+00  
24    5.335403E+03  3.726456E-01  1.988036E-01  2.500213E+00  1.351336E+00  5.461231E+00  1.581298E+01  5.508690E+01  7.218794E+01  1.845561E+01  8.501640E+00  1.154065E+00  
25    2.396260E+05  2.712552E-01  1.988036E-01  3.393731E+00  3.479652E+00  5.461231E+00  1.936762E+02  6.460876E+01  7.218794E+01  1.672775E+01  1.043817E-01  1.098430E+00  
26    7.252971E+05  2.712552E-01  1.988036E-01  2.500213E+00  3.479652E+00  4.591304E+01  3.123158E+02  6.460876E+01  7.218794E+01  1.672775E+01  5.439274E+00  1.154065E+00  
27    6.548080E+03  4.169365E-01  1.988036E-01  2.500213E+00  3.479652E+00  1.269155E+01  1.581298E+01  6.460876E+01  7.218794E+01  1.753022E+01  9.553746E+00  1.154065E+00  
28    2.348098E+05  2.712552E-01  1.988036E-01  2.500213E+00  3.479652E+00  5.461231E+00  1.917028E+02  6.460876E+01  7.218794E+01  1.213914E+01  5.439274E+00  1.154065E+00  
29    3.203417E+03  1.969783E-02  1.988036E-01  2.005703E+00  3.479652E+00  5.461231E+00  6.575346E+00  6.460876E+01  7.218794E+01  1.213914E+01  5.911546E+00  1.154065E+00  
30    2.620815E+05  5.415522E-02  1.988036E-01  2.500213E+00  3.479652E+00  5.461231E+00  2.051148E+02  6.460876E+01  6.673744E+01  1.366089E+01  5.439274E+00  1.075294E+00  
31    3.184928E+03  5.415522E-02  1.988036E-01  2.500213E+00  3.479652E+00  5.461231E+00  6.575346E+00  6.460876E+01  6.673744E+01  1.542573E+01  5.439274E+00  1.075294E+00  
32    3.181224E+03  5.415522E-02  1.988036E-01  2.461325E+00  3.479652E+00  5.461231E+00  6.575346E+00  6.460876E+01  6.673744E+01  1.742054E+01  5.439274E+00  1.075294E+00  
33    3.162686E+03  5.415522E-02  2.126612E-01  2.555542E+00  3.479652E+00  5.461231E+00  5.657662E+00  6.460876E+01  6.063506E+01  1.716754E+01  9.488135E+00  1.075294E+00  
