STEP	OBJ._FUNCTION	<kb>        	<kn>        	<mlt>       	<sn0>       	<gw0>       	<st0>       	<CN1>       	<CN2>       	<ss1>       	<ss2>       	<kh>        
 250	1.482614E+03	5.415522E-02	4.519203E-01	1.190910E-01	1.336514E+00	5.564724E+00	5.657662E+00	7.531393E+01	8.820736E+01	1.182250E+01	7.602201E+00	1.000803E+00
 254	1.482188E+03	5.415522E-02	4.519203E-01	1.190910E-01	1.336514E+00	5.564724E+00	5.657662E+00	7.531393E+01	8.820736E+01	1.182250E+01	7.602201E+00	1.006635E+00
 262	1.481885E+03	5.415522E-02	4.519203E-01	1.190910E-01	1.336514E+00	5.564724E+00	5.657662E+00	7.531393E+01	8.820736E+01	1.182250E+01	7.602201E+00	1.011419E+00
 279	1.479758E+03	5.415522E-02	4.519203E-01	1.190910E-01	1.336514E+00	5.564724E+00	5.657662E+00	7.531393E+01	8.800939E+01	1.182250E+01	7.602201E+00	1.011419E+00
 283	1.460702E+03	3.960973E-02	4.519203E-01	1.190910E-01	1.336514E+00	5.564724E+00	5.657662E+00	7.531393E+01	8.800939E+01	1.182250E+01	7.602201E+00	1.011419E+00
 289	1.452455E+03	3.960973E-02	4.519203E-01	1.190910E-01	1.336514E+00	5.564724E+00	5.657662E+00	7.531393E+01	8.446667E+01	1.182250E+01	7.602201E+00	1.011419E+00
 303	1.449001E+03	3.960973E-02	4.519203E-01	1.190910E-01	1.336514E+00	5.564724E+00	5.657662E+00	7.531393E+01	8.446667E+01	1.051909E+01	7.602201E+00	1.011419E+00
 313	1.442973E+03	3.960973E-02	4.519203E-01	1.190910E-01	1.336514E+00	5.564724E+00	5.657662E+00	7.531393E+01	8.446667E+01	4.594342E+00	7.602201E+00	1.011419E+00
 317	1.442801E+03	3.960973E-02	4.647340E-01	1.190910E-01	1.336514E+00	5.564724E+00	5.657662E+00	7.531393E+01	8.446667E+01	4.594342E+00	7.602201E+00	1.011419E+00
 321	1.442697E+03	3.960973E-02	4.647340E-01	1.190910E-01	1.336514E+00	5.564724E+00	5.657662E+00	7.531393E+01	8.446667E+01	3.995867E+00	7.602201E+00	1.011419E+00
 322	1.362975E+03	3.960973E-02	4.647340E-01	1.190910E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.137300E+01	8.446667E+01	4.594342E+00	7.602201E+00	1.011419E+00
 328	1.353780E+03	3.960973E-02	4.647340E-01	1.190910E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.137300E+01	8.446667E+01	4.594342E+00	7.602201E+00	1.167236E+00
 331	1.350470E+03	3.960973E-02	4.647340E-01	1.425077E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.137300E+01	8.446667E+01	4.594342E+00	7.602201E+00	1.011419E+00
 339	1.347505E+03	3.960973E-02	4.647340E-01	1.425077E-01	1.336514E+00	5.564724E+00	5.657662E+00	8.137300E+01	8.446667E+01	3.671353E+00	7.602201E+00	1.011419E+00
