Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 1.613336E+00 	  1.791136000E+00 	  3.468975621E-01 	 0.000000E+00 	  9.24354303E+00 	  +6.88266500000E-01 	  +3.82763669247E+00 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 0.000000E+00 	  1.574800000E+00 	  3.584826960E-01 	 0.000000E+00 	  9.03619400E+00 	  +4.44627872353E-01 	  +2.87913823587E+00 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  4.024498831E-01 	 0.000000E+00 	  8.89987703E+00 	  +3.34447914178E-01 	  +2.97519450065E+00 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.163089755E-01 	 0.000000E+00 	  8.70023704E+00 	  +3.45606050664E-01 	  +2.18899077837E+00 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.931816055E-01 	 0.000000E+00 	  8.50507532E+00 	  +2.54278655626E-01 	  +1.80436123802E+00 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.863614837E-01 	 0.000000E+00 	  8.31429143E+00 	  +2.09599124127E-01 	  +1.60741144451E+00 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  4.021197977E-01 	 0.000000E+00 	  8.12778715E+00 	  +1.86720942449E-01 	  +1.91492797855E+00 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.771100649E-01 	 0.000000E+00 	  7.94546650E+00 	  +2.22442833848E-01 	  +1.62499764235E+00 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.582176088E-01 	 0.000000E+00 	  7.76723562E+00 	  +1.88763799271E-01 	  +1.47336779295E+00 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.153767969E-01 	 0.000000E+00 	  7.59300278E+00 	  +1.71150095896E-01 	  +1.38660348843E+00 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.619381561E-01 	 0.000000E+00 	  7.42267829E+00 	  +1.61071336804E-01 	  +1.33044965584E+00 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  4.904044806E-01 	 0.000000E+00 	  7.25617448E+00 	  +1.54548366858E-01 	  +1.61693070194E+00 
13   	  0.00000000000E+00 	  +2.138888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.865210166E-01 	 0.000000E+00 	  7.09340564E+00 	  +1.87826723253E-01 	  +1.40753051749E+00 
14   	  0.00000000000E+00 	  +2.077777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.688370096E-01 	 0.000000E+00 	  6.93428800E+00 	  +1.63502272955E-01 	  +1.29521713901E+00 
15   	  0.00000000000E+00 	  +2.177777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.959621928E-01 	 0.000000E+00 	  6.77873964E+00 	  +1.50455669392E-01 	  +1.22850956918E+00 
16   	  0.00000000000E+00 	  +2.283333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.260521724E-01 	 0.000000E+00 	  6.62668051E+00 	  +1.42706750875E-01 	  +1.18339197045E+00 
17   	  0.00000000000E+00 	  +2.405555600000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.629434755E-01 	 0.000000E+00 	  6.47803234E+00 	  +1.37465777516E-01 	  +1.14865720725E+00 
18   	  6.09600000000E-01 	  +2.294444400000E+01 	 0.000000E+00 	  6.096000000E-01 	  5.274975814E-01 	 0.000000E+00 	  6.33271861E+00 	  +1.33430900359E-01 	  +1.11907171826E+00 
19   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.679464374E-01 	 0.000000E+00 	  6.19066452E+00 	  +1.29994175800E-01 	  +1.09218791122E+00 
20   	  0.00000000000E+00 	  +2.250000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.122763641E-01 	 0.000000E+00 	  6.05179696E+00 	  +1.26871285389E-01 	  +1.06685760130E+00 
21   	  1.01600000000E-01 	  +1.883333300000E+01 	 0.000000E+00 	  1.016000000E-01 	  4.130301793E-01 	 0.000000E+00 	  5.91604444E+00 	  +1.23928853097E-01 	  +1.04253874095E+00 
22   	  1.21920000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  1.219200000E+00 	  4.203596850E-01 	 0.000000E+00 	  5.78333709E+00 	  +1.21103913323E-01 	  +1.05398336201E+00 
23   	  0.00000000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.194694251E-01 	 0.000000E+00 	  5.65360661E+00 	  +1.22433349191E-01 	  +1.01235821519E+00 
