Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 5.045853E+00 	  5.223652755E+00 	  3.883665377E-01 	 4.422597E+01 	  1.86063097E+01 	  +2.27091400000E+02 	  +1.16521372733E+01 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 5.227358E+00 	  6.802158400E+00 	  4.013365865E-01 	 3.899861E+01 	  1.30917684E+01 	  +2.34849716338E+02 	  +1.19475614049E+01 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 5.862628E+00 	  7.996227505E+00 	  4.505597178E-01 	 3.313598E+01 	  9.26052778E+00 	  +2.40804012264E+02 	  +1.21886363004E+01 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 7.260220E+00 	  7.260219927E+00 	  5.780298022E-01 	 2.587576E+01 	  6.59654521E+00 	  +2.45662895188E+02 	  +1.23675283812E+01 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 7.006112E+00 	  7.006112155E+00 	  5.521377302E-01 	 1.886965E+01 	  4.73829958E+00 	  +2.49268478735E+02 	  +1.25127285818E+01 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 6.933510E+00 	  6.933510027E+00 	  5.445023146E-01 	 1.193614E+01 	  3.45106699E+00 	  +2.52194999863E+02 	  +1.26444457659E+01 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 5.880778E+00 	  7.582578200E+00 	  4.501901732E-01 	 6.055361E+00 	  4.34099899E+00 	  +2.54849769764E+02 	  +1.27984686171E+01 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 5.535918E+00 	  5.637517605E+00 	  4.221907163E-01 	 5.194434E-01 	  5.73727085E+00 	  +2.57954112090E+02 	  +1.29031701124E+01 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 5.194434E-01 	  5.194434260E-01 	  4.010398102E-01 	 0.000000E+00 	  4.06374365E+00 	  +2.60064378721E+02 	  +1.29066633028E+01 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.650319462E-01 	 0.000000E+00 	  2.82052865E+00 	  +2.60134784240E+02 	  +1.28833796665E+01 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.171593632E-01 	 0.000000E+00 	  1.95764855E+00 	  +2.59665500772E+02 	  +1.28415017883E+01 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  5.490286211E-01 	 0.000000E+00 	  1.53894296E+00 	  +2.58821448941E+02 	  +1.27962515374E+01 
13   	  0.00000000000E+00 	  +2.138888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.446809184E-01 	 0.000000E+00 	  1.06813645E+00 	  +2.57909426679E+02 	  +1.27356191117E+01 
14   	  0.00000000000E+00 	  +2.077777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.248829224E-01 	 0.000000E+00 	  7.41363066E-01 	  +2.56687375510E+02 	  +1.26682845131E+01 
15   	  0.00000000000E+00 	  +2.177777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.552507157E-01 	 0.000000E+00 	  5.14558975E-01 	  +2.55330241535E+02 	  +1.25964635693E+01 
16   	  0.00000000000E+00 	  +2.283333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.889377244E-01 	 0.000000E+00 	  3.57140720E-01 	  +2.53882684929E+02 	  +1.25216931393E+01 
17   	  0.00000000000E+00 	  +2.405555600000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.302391033E-01 	 0.000000E+00 	  2.47881195E-01 	  +2.52375681204E+02 	  +1.24450388363E+01 
18   	  6.09600000000E-01 	  +2.294444400000E+01 	 0.000000E+00 	  6.096000000E-01 	  5.905559212E-01 	 0.000000E+00 	  1.72047273E-01 	  +2.50830707875E+02 	  +1.23672895186E+01 
19   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.358401315E-01 	 0.000000E+00 	  1.19413109E-01 	  +2.49263664441E+02 	  +1.22888557619E+01 
20   	  0.00000000000E+00 	  +2.250000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.735151226E-01 	 0.000000E+00 	  8.28812355E-02 	  +2.47682826085E+02 	  +1.22101422025E+01 
21   	  1.01600000000E-01 	  +1.883333300000E+01 	 0.000000E+00 	  1.016000000E-01 	  4.624048083E-01 	 0.000000E+00 	  5.75255035E-02 	  +2.46096348287E+02 	  +1.21313934848E+01 
22   	  1.21920000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  1.219200000E+00 	  4.706105009E-01 	 0.000000E+00 	  3.99268125E-02 	  +2.44509161870E+02 	  +1.20546542295E+01 
23   	  0.00000000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.696138171E-01 	 0.000000E+00 	  2.77120626E-02 	  +2.42962476321E+02 	  +1.19762765173E+01 
24   	  5.56260000000E+00 	  +1.822222200000E+01 	 0.000000E+00 	  5.562600000E+00 	  4.431509753E-01 	 0.000000E+00 	  1.52361229E-01 	  +2.41382767546E+02 	  +1.19903693750E+01 
25   	  4.31800000000E-01 	  +2.261111100000E+01 	 0.000000E+00 	  4.318000000E-01 	  5.710951369E-01 	 0.000000E+00 	  1.50382651E-01 	  +2.41666810170E+02 	  +1.19151810589E+01 
26   	  5.08000000000E-02 	  +2.438888900000E+01 	 0.000000E+00 	  5.080000000E-02 	  6.304268789E-01 	 0.000000E+00 	  1.04376312E-01 	  +2.40151383918E+02 	  +1.18393827429E+01 
27   	  0.00000000000E+00 	  +2.533333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.632882088E-01 	 0.000000E+00 	  7.24446233E-02 	  +2.38623663073E+02 	  +1.17633873004E+01 
28   	  0.00000000000E+00 	  +2.511111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.535081011E-01 	 0.000000E+00 	  5.02817484E-02 	  +2.37091969127E+02 	  +1.16874082584E+01 
29   	  0.00000000000E+00 	  +2.500000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.478611451E-01 	 0.000000E+00 	  3.48991285E-02 	  +2.35560605735E+02 	  +1.16115928162E+01 
30   	  1.29540000000E+00 	  +2.494444400000E+01 	 0.000000E+00 	  1.295400000E+00 	  6.442376596E-01 	 0.000000E+00 	  2.42224905E-02 	  +2.34032539710E+02 	  +1.15390991137E+01 
31   	  1.11760000000E+00 	  +2.416666700000E+01 	 0.000000E+00 	  1.117600000E+00 	  6.150236498E-01 	 0.000000E+00 	  1.68121403E-02 	  +2.32571423601E+02 	  +1.14674027510E+01 
32   	  0.00000000000E+00 	  +2.288888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.704429877E-01 	 0.000000E+00 	  1.16688274E-02 	  +2.31126377936E+02 	  +1.13925240449E+01 
33   	  0.00000000000E+00 	  +2.200000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.406640114E-01 	 0.000000E+00 	  8.09900056E-03 	  +2.29617191899E+02 	  +1.13180583723E+01 
34   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.140398779E-01 	 0.000000E+00 	  5.62128547E-03 	  +2.28116330582E+02 	  +1.12440267540E+01 
35   	  0.00000000000E+00 	  +2.366666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.915279340E-01 	 0.000000E+00 	  3.90157404E-03 	  +2.26624217664E+02 	  +1.11704428146E+01 
36   	  0.00000000000E+00 	  +2.600000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.726858016E-01 	 0.000000E+00 	  2.70797134E-03 	  +2.25141127746E+02 	  +1.10973150509E+01 
37   	  0.00000000000E+00 	  +2.277777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.591758047E-01 	 0.000000E+00 	  1.87952573E-03 	  +2.23667232086E+02 	  +1.10246484076E+01 
38   	  0.00000000000E+00 	  +2.288888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.611379368E-01 	 0.000000E+00 	  1.30452525E-03 	  +2.22202630344E+02 	  +1.09524453699E+01 
39   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.858920792E-01 	 0.000000E+00 	  9.05433794E-04 	  +2.20747372606E+02 	  +1.08807067220E+01 
40   	  0.00000000000E+00 	  +1.972222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.644422002E-01 	 0.000000E+00 	  6.28435791E-04 	  +2.19301474681E+02 	  +1.08094320740E+01 
41   	  2.54000000000E-02 	  +2.488888900000E+01 	 0.000000E+00 	  2.540000000E-02 	  6.230207027E-01 	 0.000000E+00 	  4.36179372E-04 	  +2.17864928708E+02 	  +1.07386202268E+01 
42   	  0.00000000000E+00 	  +2.500000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.250390398E-01 	 0.000000E+00 	  3.02739671E-04 	  +2.16437710522E+02 	  +1.06682694262E+01 
43   	  1.27000000000E-01 	  +1.961111100000E+01 	 0.000000E+00 	  1.270000000E-01 	  4.572724468E-01 	 0.000000E+00 	  2.10122978E-04 	  +2.15019784764E+02 	  +1.05983775383E+01 
44   	  2.28600000000E-01 	  +1.933333300000E+01 	 0.000000E+00 	  2.286000000E-01 	  4.484834302E-01 	 0.000000E+00 	  1.45840370E-04 	  +2.13611108428E+02 	  +1.05289421720E+01 
45   	  0.00000000000E+00 	  +2.038888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.755885921E-01 	 0.000000E+00 	  1.01223645E-04 	  +2.12211633320E+02 	  +1.04599607637E+01 
46   	  0.00000000000E+00 	  +2.383333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.779541199E-01 	 0.000000E+00 	  7.02564468E-05 	  +2.10821307768E+02 	  +1.03914306354E+01 
47   	  0.00000000000E+00 	  +2.588888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.467543004E-01 	 0.000000E+00 	  4.87629974E-05 	  +2.09440077801E+02 	  +1.03233490365E+01 
48   	  0.00000000000E+00 	  +2.750000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  7.049279385E-01 	 0.000000E+00 	  3.38450068E-05 	  +2.08067887976E+02 	  +1.02557131710E+01 
49   	  0.00000000000E+00 	  +2.866666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  7.490749485E-01 	 0.000000E+00 	  2.34908546E-05 	  +2.06704681944E+02 	  +1.01885202177E+01 
50   	  0.00000000000E+00 	  +2.755555600000E+01 	 0.000000E+00 	  0.000000000E+00 	  7.024550442E-01 	 0.000000E+00 	  1.63043327E-05 	  +2.05350402841E+02 	  +1.01217673437E+01 
51   	  7.11200000000E-01 	  +2.494444400000E+01 	 0.000000E+00 	  7.112000000E-01 	  6.054076031E-01 	 0.000000E+00 	  1.13163727E-05 	  +2.04004993568E+02 	  +1.00554517133E+01 
52   	  0.00000000000E+00 	  +2.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  6.440904053E-01 	 0.000000E+00 	  7.85437174E-06 	  +2.02668396975E+02 	  +9.98957049496E+00 
53   	  1.01600000000E-01 	  +2.611111100000E+01 	 0.000000E+00 	  1.016000000E-01 	  6.419025051E-01 	 0.000000E+00 	  5.45149558E-06 	  +2.01340555990E+02 	  +9.92412086551E+00 
54   	  7.62000000000E-01 	  +2.477777800000E+01 	 0.000000E+00 	  7.620000000E-01 	  5.936654051E-01 	 0.000000E+00 	  3.78372771E-06 	  +2.00021413711E+02 	  +9.85912446234E+00 
55   	  0.00000000000E+00 	  +2.316666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.399898823E-01 	 0.000000E+00 	  2.62617757E-06 	  +1.98711406243E+02 	  +9.79452942887E+00 
56   	  1.95580000000E+00 	  +2.211111100000E+01 	 0.000000E+00 	  1.955800000E+00 	  5.065395096E-01 	 0.000000E+00 	  1.82275500E-06 	  +1.97409488412E+02 	  +9.73672724345E+00 
57   	  0.00000000000E+00 	  +2.472222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.856384482E-01 	 0.000000E+00 	  1.26512230E-06 	  +1.96244480952E+02 	  +9.67293410349E+00 
58   	  0.00000000000E+00 	  +2.050000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.581825322E-01 	 0.000000E+00 	  8.78085333E-07 	  +1.94958725346E+02 	  +9.60955891553E+00 
59   	  0.00000000000E+00 	  +1.850000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.059502326E-01 	 0.000000E+00 	  6.09454004E-07 	  +1.93681393594E+02 	  +9.54659894379E+00 
60   	  1.65100000000E+00 	  +1.688888900000E+01 	 0.000000E+00 	  1.651000000E+00 	  3.674605271E-01 	 0.000000E+00 	  4.23004655E-07 	  +1.92412430557E+02 	  +9.48955007778E+00 
61   	  2.76860000000E+00 	  +1.577777800000E+01 	 0.000000E+00 	  2.768600000E+00 	  3.424183224E-01 	 0.000000E+00 	  4.22458879E-03 	  +1.91262606307E+02 	  +9.45088979114E+00 
62   	  0.00000000000E+00 	  +1.972222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.315234462E-01 	 0.000000E+00 	  2.93216668E-03 	  +1.90483405278E+02 	  +9.38903307957E+00 
63   	  0.00000000000E+00 	  +1.716666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.695427359E-01 	 0.000000E+00 	  2.03513333E-03 	  +1.89236678534E+02 	  +9.32756215250E+00 
64   	  0.00000000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.869332569E-01 	 0.000000E+00 	  1.41252804E-03 	  +1.87997727306E+02 	  +9.26648044452E+00 
65   	  0.00000000000E+00 	  +1.905555600000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.103406998E-01 	 0.000000E+00 	  9.80395456E-04 	  +1.86766620818E+02 	  +9.20578954372E+00 
66   	  0.00000000000E+00 	  +1.944444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.182610006E-01 	 0.000000E+00 	  6.80464545E-04 	  +1.85543391079E+02 	  +9.14548976181E+00 
67   	  0.00000000000E+00 	  +2.083333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.519009251E-01 	 0.000000E+00 	  4.72291047E-04 	  +1.84328044371E+02 	  +9.08558052974E+00 
68   	  0.00000000000E+00 	  +1.744444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.687217474E-01 	 0.000000E+00 	  3.27803756E-04 	  +1.83120569225E+02 	  +9.02606067235E+00 
69   	  0.00000000000E+00 	  +1.550000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.267453317E-01 	 0.000000E+00 	  2.27519244E-04 	  +1.81920941955E+02 	  +8.96692859887E+00 
