Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 4.147145E+01 	  4.164925192E+01 	  3.604714546E-01 	 2.600150E+01 	  7.39503401E+02 	  +5.27619800000E+02 	  +1.51314634989E+03 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 2.600150E+01 	  2.757629808E+01 	  3.725099078E-01 	 0.000000E+00 	  5.63717247E+02 	  +5.85724662770E+02 	  +1.50603846434E+03 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  4.181975044E-01 	 0.000000E+00 	  4.29609778E+02 	  +5.82973267397E+02 	  +1.38246687609E+03 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.365118345E-01 	 0.000000E+00 	  3.26105914E+02 	  +5.35139872521E+02 	  +1.22812883376E+03 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.124795044E-01 	 0.000000E+00 	  2.47538749E+02 	  +4.75397073813E+02 	  +1.06528791399E+03 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.053925154E-01 	 0.000000E+00 	  1.87900401E+02 	  +4.12362891548E+02 	  +9.07670892438E+02 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  4.178545030E-01 	 0.000000E+00 	  1.42630441E+02 	  +3.51350830948E+02 	  +7.62742470387E+02 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.918661544E-01 	 0.000000E+00 	  1.08267159E+02 	  +2.95250407391E+02 	  +6.33855860459E+02 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.722344479E-01 	 0.000000E+00 	  8.21828613E+01 	  +2.45359617818E+02 	  +5.21993844190E+02 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.316302406E-01 	 0.000000E+00 	  6.23829307E+01 	  +2.02058887680E+02 	  +4.26640387649E+02 
