Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 1.336514E+00 	  1.514314000E+00 	  2.791106116E-01 	 0.000000E+00 	  5.50295587E+00 	  +5.65766200000E+00 	  +2.05327930885E+01 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 0.000000E+00 	  1.574800000E+00 	  2.884319045E-01 	 0.000000E+00 	  5.49871253E+00 	  +3.31001745007E+00 	  +1.26512052280E+01 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  3.238075019E-01 	 0.000000E+00 	  5.53012455E+00 	  +2.03945512375E+00 	  +9.05273460225E+00 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.154174882E-01 	 0.000000E+00 	  5.31107781E+00 	  +1.45935866470E+00 	  +5.70634905305E+00 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.968094174E-01 	 0.000000E+00 	  5.10070745E+00 	  +9.19899930825E-01 	  +3.84276455101E+00 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.913220097E-01 	 0.000000E+00 	  4.89866981E+00 	  +6.19478200824E-01 	  +2.79304163025E+00 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  3.235419182E-01 	 0.000000E+00 	  4.70463482E+00 	  +4.50256158286E-01 	  +2.79802670342E+00 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.034193155E-01 	 0.000000E+00 	  4.51828550E+00 	  +4.51059783935E-01 	  +2.16710384547E+00 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  2.882186178E-01 	 0.000000E+00 	  4.33931743E+00 	  +3.49350987647E-01 	  +1.79621260672E+00 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.342083787E-01 	 0.000000E+00 	  4.16743824E+00 	  +2.89560949971E-01 	  +1.56883343501E+00 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.716712233E-01 	 0.000000E+00 	  4.00236714E+00 	  +2.52905974542E-01 	  +1.42106495648E+00 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  3.945749680E-01 	 0.000000E+00 	  3.84383446E+00 	  +2.29084751566E-01 	  +1.85760010033E+00 
13   	  0.00000000000E+00 	  +2.138888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.914503684E-01 	 0.000000E+00 	  3.69158121E+00 	  +2.99457006206E-01 	  +1.53575313600E+00 
14   	  0.00000000000E+00 	  +2.077777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.772219778E-01 	 0.000000E+00 	  3.54535868E+00 	  +2.47573218960E-01 	  +1.33885175859E+00 
