Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 1.020462E+00 	  1.198262293E+00 	  3.420155638E-01 	 5.928737E-01 	  2.61376025E+01 	  +6.88266500000E-01 	  +6.22515780766E+00 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 5.928737E-01 	  2.167673707E+00 	  3.534376565E-01 	 0.000000E+00 	  2.56531117E+01 	  +8.12210259946E-01 	  +6.98329641396E+00 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  3.967860796E-01 	 0.000000E+00 	  2.52124196E+01 	  +9.11126299271E-01 	  +7.55655742826E+00 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  5.090427972E-01 	 0.000000E+00 	  2.46468604E+01 	  +9.85920945740E-01 	  +5.89031036673E+00 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.862409059E-01 	 0.000000E+00 	  2.40939877E+01 	  +7.68521965539E-01 	  +5.01677366136E+00 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.795167659E-01 	 0.000000E+00 	  2.35535169E+01 	  +6.54549678175E-01 	  +4.53698455960E+00 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  3.964606396E-01 	 0.000000E+00 	  2.30251698E+01 	  +5.91950521157E-01 	  +5.02250828417E+00 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.718028765E-01 	 0.000000E+00 	  2.25086745E+01 	  +6.55297887236E-01 	  +4.44880050205E+00 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.531763000E-01 	 0.000000E+00 	  2.20037651E+01 	  +5.80444949970E-01 	  +4.12062897793E+00 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.095310689E-01 	 0.000000E+00 	  2.15101817E+01 	  +5.37627677357E-01 	  +3.91506995061E+00 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.554371555E-01 	 0.000000E+00 	  2.10276703E+01 	  +5.10807931388E-01 	  +3.77121129655E+00 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  4.835028644E-01 	 0.000000E+00 	  2.05559824E+01 	  +4.92038371095E-01 	  +4.29129179219E+00 
